mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	TextLine	TextLine_poco rall.	decrescendo_hairpin	crescendo_line	Ottava:8va
33	32	251/2	251/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	293				39					
33	32	126	126	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	294				39					
33	32	253/2	253/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	295				39					
33	32	127	127	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	296				39					
33	32	255/2	255/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	297				39					
33	32	128	128	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	298				39					
33	32	257/2	257/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	299									
33	32	128	128	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	300									
34	33	129	129	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	301				40					
34	33	261/2	261/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	302									
34	33	131	131	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	303		articStaccatoAbove							
34	33	132	132	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	304		articStaccatoAbove							
34	33	129	129	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	305				41					
34	33	259/2	259/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	306				41					
34	33	130	130	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	307				41					
34	33	261/2	261/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	308				41					
34	33	131	131	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	309				41					
34	33	263/2	263/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	310				41					
34	33	132	132	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	311				41					
34	33	265/2	265/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	312									
34	33	132	132	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	313									
35	34	133	133	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	314									
35	34	136	136	0.0	3/4	3/4	Dynamic	4/4	1	1	0					f								
35	34	136	136	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	315		articStaccatissimoBelow							
35	34	133	133	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	316				42					
35	34	267/2	267/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	317				42					
35	34	134	134	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	318				42					
35	34	269/2	269/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	319				42					
35	34	135	135	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	320				42					
35	34	271/2	271/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	321									
35	34	136	136	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	322		articStaccatissimoBelow							
36	35	137	137	1.75	0	0	Chord	4/4	1	1	7/16		1/4	7/4	323		articAccentBelow		43					
36	35	555/4	555/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	324									
36	35	139	139	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	325		articStaccatissimoAbove							
36	35	140	140	0.0	3/4	3/4	Dynamic	4/4	1	1	0					p								
36	35	140	140	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	326		articStaccatissimoBelow							
36	35	555/4	555/4	0.125	7/16	7/16	Chord	4/4	1	2	1/32		1/32	1	327				44					
36	35	1111/8	1111/8	0.125	15/32	15/32	Chord	4/4	1	2	1/32		1/32	1	328				44					
36	35	139	139	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	329		articStaccatissimoBelow							
36	35	137	137	1.75	0	0	Chord	4/4	2	1	7/16		1/4	7/4	330									
36	35	140	140	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	331		articStaccatissimoAbove							
37	36	141	141	1.75	0	0	Chord	4/4	1	1	7/16		1/4	7/4	332				45					
37	36	571/4	571/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	333									
37	36	143	143	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	334		articStaccatissimoAbove							
37	36	144	144	0.0	3/4	3/4	Dynamic	4/4	1	1	0					f								
37	36	144	144	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	335		articStaccatissimoBelow							
37	36	571/4	571/4	0.125	7/16	7/16	Chord	4/4	1	2	1/32		1/32	1	336				46					
37	36	1143/8	1143/8	0.125	15/32	15/32	Chord	4/4	1	2	1/32		1/32	1	337				46					
37	36	143	143	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	338		articStaccatissimoBelow							
37	36	141	141	1.75	0	0	Chord	4/4	2	1	7/16		1/4	7/4	339									
37	36	144	144	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	340		articStaccatissimoBelow							
38	37	145	145	1.75	0	0	Chord	4/4	1	1	7/16		1/4	7/4	341		articAccentBelow		47					
38	37	587/4	587/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	342									
38	37	147	147	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	343		articStaccatissimoAbove							
38	37	148	148	0.0	3/4	3/4	Dynamic	4/4	1	1	0					p								
38	37	148	148	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	344		articStaccatissimoBelow							
38	37	587/4	587/4	0.125	7/16	7/16	Chord	4/4	1	2	1/32		1/32	1	345				48					
38	37	1175/8	1175/8	0.125	15/32	15/32	Chord	4/4	1	2	1/32		1/32	1	346				48					
38	37	147	147	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	347		articStaccatissimoBelow							
38	37	145	145	1.75	0	0	Chord	4/4	2	1	7/16		1/4	7/4	348									
38	37	148	148	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	349		articStaccatissimoAbove							
39	38	149	149	1.75	0	0	Chord	4/4	1	1	7/16		1/4	7/4	350				49					
39	38	603/4	603/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	351									
39	38	151	151	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	352		articStaccatissimoAbove							
39	38	152	152	0.0	3/4	3/4	Dynamic	4/4	1	1	0					f								
39	38	152	152	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	353		articStaccatissimoBelow							
39	38	603/4	603/4	0.125	7/16	7/16	Chord	4/4	1	2	1/32		1/32	1	354				50					
39	38	1207/8	1207/8	0.125	15/32	15/32	Chord	4/4	1	2	1/32		1/32	1	355				50					
39	38	151	151	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	356		articStaccatissimoBelow							
39	38	149	149	1.75	0	0	Chord	4/4	2	1	7/16		1/4	7/4	357									
39	38	152	152	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	358		articStaccatissimoAbove							
40	39	153	153	1.75	0	0	Chord	4/4	1	1	7/16		1/4	7/4	359		articAccentBelow		51					
40	39	619/4	619/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	360									
40	39	155	155	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	361		articStaccatissimoAbove							
40	39	156	156	0.0	3/4	3/4	Dynamic	4/4	1	1	0					p								
40	39	156	156	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	362		articStaccatissimoBelow							
40	39	619/4	619/4	0.125	7/16	7/16	Chord	4/4	1	2	1/32		1/32	1	363				52					
40	39	1239/8	1239/8	0.125	15/32	15/32	Chord	4/4	1	2	1/32		1/32	1	364				52					
40	39	155	155	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	365		articStaccatissimoBelow							
40	39	153	153	1.75	0	0	Chord	4/4	2	1	7/16		1/4	7/4	366									
40	39	156	156	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	367		articStaccatissimoAbove							
41	40	157	157	1.75	0	0	Chord	4/4	1	1	7/16		1/4	7/4	368				53					
41	40	635/4	635/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	369									
41	40	159	159	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	370		articStaccatissimoAbove							
41	40	160	160	0.0	3/4	3/4	Dynamic	4/4	1	1	0					f								
41	40	160	160	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	371		articStaccatissimoBelow							
41	40	635/4	635/4	0.125	7/16	7/16	Chord	4/4	1	2	1/32		1/32	1	372				54					
41	40	1271/8	1271/8	0.125	15/32	15/32	Chord	4/4	1	2	1/32		1/32	1	373				54					
41	40	159	159	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	374		articStaccatissimoBelow							
41	40	157	157	1.75	0	0	Chord	4/4	2	1	7/16		1/4	7/4	375									
41	40	160	160	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	376		articStaccatissimoAbove							
42	41	161	161	1.75	0	0	Chord	4/4	1	1	7/16		1/4	7/4	377		articAccentBelow		55					
42	41	651/4	651/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	378									
42	41	163	163	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	379		articStaccatissimoAbove							
42	41	164	164	0.0	3/4	3/4	Dynamic	4/4	1	1	0					p								
42	41	164	164	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	380		articStaccatissimoBelow							
42	41	651/4	651/4	0.125	7/16	7/16	Chord	4/4	1	2	1/32		1/32	1	381				56					
42	41	1303/8	1303/8	0.125	15/32	15/32	Chord	4/4	1	2	1/32		1/32	1	382				56					
42	41	163	163	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	383		articStaccatissimoBelow							
42	41	161	161	1.75	0	0	Chord	4/4	2	1	7/16		1/4	7/4	384									
42	41	164	164	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	385		articStaccatissimoAbove							
43	42	165	165	1.75	0	0	Chord	4/4	1	1	7/16		1/4	7/4	386				57					
43	42	667/4	667/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	387									
43	42	167	167	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	388		articStaccatissimoAbove							
43	42	168	168	0.0	3/4	3/4	StaffText	4/4	1	1	0							"<font size=""12""/>dolce"						
43	42	168	168	0.0	3/4	3/4	StaffText	4/4	1	1	0							"<font size=""12""/>grazioso"						
43	42	168	168	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	389		articTenutoAbove							
43	42	667/4	667/4	0.125	7/16	7/16	Chord	4/4	1	2	1/32		1/32	1	390				58					
43	42	1335/8	1335/8	0.125	15/32	15/32	Chord	4/4	1	2	1/32		1/32	1	391				58					
43	42	167	167	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	392		articStaccatissimoBelow							
43	42	168	168	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12		1/8	2/3	393				59					
43	42	505/3	505/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12		1/8	2/3	394				59					
43	42	506/3	506/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	395									
43	42	165	165	1.75	0	0	Chord	4/4	2	1	7/16		1/4	7/4	396									
43	42	168	168	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	397									
44	43	169	169	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	398		articTenutoAbove							
44	43	170	170	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	399				60					
44	43	511/3	511/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	400				60					
44	43	512/3	512/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	401				60					
44	43	172	172	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	402		articTenutoAbove							
44	43	169	169	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	403									
44	43	172	172	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12		1/8	2/3	404				61					
44	43	517/3	517/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12		1/8	2/3	405				61					
44	43	518/3	518/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	406									
44	43	169	169	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	407									
44	43	171	171	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	408									
44	43	514/3	514/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	409									
44	43	515/3	515/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	410									
44	43	172	172	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	411									
44	43	169	169	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	412									
44	43	172	172	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	413									
45	44	173	173	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	414		articTenutoAbove							
45	44	174	174	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	415				62					
45	44	523/3	523/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	416				62					
45	44	524/3	524/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	417				62					
45	44	176	176	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	418		articTenutoAbove							
45	44	173	173	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	419									
45	44	176	176	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12		1/8	2/3	420				63					
45	44	529/3	529/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12		1/8	2/3	421				63					
45	44	530/3	530/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	422									
45	44	173	173	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	423									
45	44	175	175	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	424									
45	44	526/3	526/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	425									
45	44	527/3	527/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	426									
45	44	176	176	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	427									
45	44	173	173	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	428									
45	44	176	176	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	429									
46	45	177	177	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	430		articTenutoAbove							
46	45	178	178	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	431				64					
46	45	535/3	535/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	432				64					
46	45	536/3	536/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	433				64					
46	45	180	180	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	434		articTenutoAbove							
46	45	177	177	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	435									
46	45	180	180	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12		1/8	2/3	436				65					
46	45	541/3	541/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12		1/8	2/3	437				65					
46	45	542/3	542/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	438									
46	45	177	177	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	439									
46	45	179	179	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	440									
46	45	538/3	538/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	441									
46	45	539/3	539/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	442									
46	45	180	180	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	443									
46	45	177	177	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	444									
46	45	180	180	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	445									
47	46	181	181	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	446		articTenutoAbove							
47	46	182	182	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	447				66					
47	46	547/3	547/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	448				66					
47	46	548/3	548/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	449				66					
47	46	184	184	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	450									
47	46	181	181	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	451									
47	46	184	184	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12		1/8	2/3	452				67					
47	46	553/3	553/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12		1/8	2/3	453				67					
47	46	554/3	554/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	454									
47	46	181	181	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	455									
47	46	183	183	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	456									
47	46	550/3	550/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	457									
47	46	551/3	551/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	458									
47	46	184	184	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	459									
47	46	181	181	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	460									
47	46	184	184	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	461									
48	47	185	185	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	462				68					
48	47	186	186	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	463				68					
48	47	559/3	559/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	464				68					
48	47	560/3	560/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	465									
48	47	187	187	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	466									
48	47	185	185	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	467									
48	47	187	187	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	468				69					
48	47	188	188	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12		1/8	2/3	469				69					
48	47	565/3	565/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12		1/8	2/3	470				69					
48	47	566/3	566/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	471									
48	47	185	185	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	472				70					
48	47	556/3	556/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	473				70					
48	47	557/3	557/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	474				70					
48	47	186	186	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	475									
48	47	187	187	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	476				71					
48	47	562/3	562/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	477				71					
48	47	563/3	563/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	478				71					
48	47	188	188	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	479									
48	47	185	185	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	480									
49	48	189	189	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	481				72					
49	48	190	190	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	482				72					
49	48	571/3	571/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	483				72					
49	48	572/3	572/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	484									
49	48	191	191	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	485									
49	48	189	189	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	486									
49	48	191	191	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	487				73					
49	48	192	192	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12		1/8	2/3	488				73					
49	48	577/3	577/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12		1/8	2/3	489				73					
49	48	578/3	578/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	490									
49	48	189	189	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	491				74					
49	48	568/3	568/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	492				74					
49	48	569/3	569/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	493				74					
49	48	190	190	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	494									
49	48	191	191	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	495				75					
49	48	574/3	574/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	496				75					
49	48	575/3	575/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	497				75					
49	48	192	192	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	498									
49	48	189	189	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	499									
50	49	193	193	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	500				76					
50	49	194	194	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	501				76					
50	49	583/3	583/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	502				76					
50	49	584/3	584/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	503									
50	49	195	195	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	504									
50	49	193	193	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	505									
50	49	195	195	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	506				77					
50	49	196	196	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12		1/8	2/3	507				77					
50	49	589/3	589/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12		1/8	2/3	508				77					
50	49	590/3	590/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	509									
50	49	193	193	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	510				78					
50	49	580/3	580/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	511				78					
50	49	581/3	581/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	512				78					
50	49	194	194	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	513									
50	49	195	195	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	514									
50	49	586/3	586/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	515									
50	49	587/3	587/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	516									
50	49	196	196	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	517									
50	49	193	193	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	518									
50	49	586/3	586/3	0.6666666666666666	7/12	7/12	Chord	4/4	2	2	1/6		1/4	2/3	519									
50	49	196	196	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	520									
51	50	197	197	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	521				79					
51	50	198	198	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	522				79					
51	50	595/3	595/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	523				79					
51	50	596/3	596/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	524									
51	50	199	199	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	525									
51	50	197	197	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	526									
51	50	199	199	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	527				80					
51	50	200	200	0.0	3/4	3/4	StaffText	4/4	1	2	0							cresc.	80					
51	50	200	200	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12		1/8	2/3	528				80					
51	50	601/3	601/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12		1/8	2/3	529				80					
51	50	602/3	602/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	530									
51	50	197	197	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	531				81					
51	50	592/3	592/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	532				81					
51	50	593/3	593/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	533				81					
51	50	198	198	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	534									
51	50	199	199	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	535				82					
51	50	598/3	598/3	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	536				82					
51	50	599/3	599/3	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	537				82					
51	50	200	200	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	538									
51	50	197	197	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	539									
51	50	199	199	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	540									
52	51	201	201	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	541				83					
52	51	202	202	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	542				83					
52	51	607/3	607/3	0.3333333333333333	1/3	1/3	Chord	4/4	1	1	1/12		1/8	2/3	543				83					
52	51	608/3	608/3	0.3333333333333333	5/12	5/12	Chord	4/4	1	1	1/12		1/8	2/3	544									
52	51	203	203	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	545									
52	51	201	201	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	546									
52	51	203	203	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	547				84					
52	51	204	204	0.3333333333333333	3/4	3/4	Chord	4/4	1	2	1/12		1/8	2/3	548				84					
52	51	613/3	613/3	0.3333333333333333	5/6	5/6	Chord	4/4	1	2	1/12		1/8	2/3	549				84					
52	51	614/3	614/3	0.3333333333333333	11/12	11/12	Chord	4/4	1	2	1/12		1/8	2/3	550									
52	51	201	201	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	551				85					
52	51	604/3	604/3	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	552				85					
52	51	605/3	605/3	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	553				85					
