mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
23	22	587/6	587/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	215													
23	22	589/6	589/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	216													
24	23	197/2	197/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	217		articStaccatoAbove											
24	23	99	99	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	218		articTenutoAbove											
24	23	100	100	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	219		articTenutoAbove											
24	23	201/2	201/2	0.0	1/2	1/2	Spanner	4/4	1	1	0															5		
24	23	201/2	201/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	220											5		
24	23	101	101	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	221									10		5		
24	23	203/2	203/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	222									10		5		
24	23	409/4	409/4	0.0	15/16	15/16	Spanner	4/4	1	1	0																	
24	23	409/4	409/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	223													
24	23	593/6	593/6	0.0	1/12	1/12	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
24	23	593/6	593/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	224													
24	23	595/6	595/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	225													
24	23	199/2	199/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	226													
24	23	599/6	599/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	227													
24	23	601/6	601/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	228													
24	23	605/6	605/6	0.0	7/12	7/12	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
24	23	605/6	605/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	229													
24	23	607/6	607/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	230													
24	23	203/2	203/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	231													
24	23	611/6	611/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	232													
24	23	613/6	613/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	233													
25	24	205/2	205/2	0.0	0	0	Spanner	4/4	1	1	0																0	
25	24	205/2	205/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	234									11			0	
25	24	207/2	207/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	235									11			0	
25	24	104	104	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	236									11			0	
25	24	209/2	209/2	0.0	1/2	1/2	Spanner	4/4	1	1	0																	
25	24	209/2	209/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	237													
25	24	205/2	205/2	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	238													
25	24	617/6	617/6	0.0	1/12	1/12	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
25	24	617/6	617/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	239													
25	24	619/6	619/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	240													
25	24	207/2	207/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	241													
25	24	623/6	623/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	242													
25	24	625/6	625/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	243													
25	24	209/2	209/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	244													
25	24	629/6	629/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	245													
25	24	631/6	631/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	246													
25	24	211/2	211/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	247													
25	24	635/6	635/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	248													
25	24	637/6	637/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	249													
26	25	213/2	213/2	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	250		articAccentAbove											
26	25	217/2	217/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	251		articStaccatoAbove											
26	25	219/2	219/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	252		articStaccatoAbove											
26	25	641/6	641/6	0.0	1/12	1/12	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
26	25	641/6	641/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	253													
26	25	643/6	643/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	254													
26	25	215/2	215/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	255													
26	25	647/6	647/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	256													
26	25	649/6	649/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	257													
26	25	217/2	217/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	258													
26	25	653/6	653/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	259													
26	25	655/6	655/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	260													
26	25	219/2	219/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	261													
26	25	659/6	659/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	262													
26	25	661/6	661/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	263													
27	26	221/2	221/2	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	264		articAccentAbove							12				
27	26	223/2	223/2	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	265									12				
27	26	671/6	671/6	0.5	1/3	1/3	Chord	4/4	1	1	1/8		1/8	1	266									12				
27	26	337/3	337/3	0.16666666666666666	11/24	11/24	Chord	4/4	1	1	1/24		1/16	2/3	267									12				
27	26	225/2	225/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	268													
27	26	114	114	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	269									13				
27	26	665/6	665/6	0.0	1/12	1/12	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
27	26	665/6	665/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	270													
27	26	667/6	667/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	271													
27	26	223/2	223/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	272													
27	26	671/6	671/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	273													
27	26	673/6	673/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	274													
27	26	225/2	225/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	275													
27	26	677/6	677/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	276													
27	26	679/6	679/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	277													
27	26	227/2	227/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	278													
27	26	683/6	683/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	279													
27	26	685/6	685/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	280													
28	27	229/2	229/2	0.0	0	0	Spanner	4/4	1	1	0															6		
28	27	229/2	229/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	281											6		
28	27	115	115	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	282									14		6		
28	27	231/2	231/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	283									14		6		
28	27	465/4	465/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	284											6		
28	27	233/2	233/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	285									15		6		
28	27	117	117	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	286		articStaccatoAbove							15		6		
28	27	235/2	235/2	0.0	3/4	3/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	287									15		6		
28	27	235/2	235/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	288		articStaccatoAbove							15		6		
28	27	473/4	473/4	0.0	15/16	15/16	Spanner	4/4	1	1	0																	
28	27	473/4	473/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	289													
28	27	689/6	689/6	0.0	1/12	1/12	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
28	27	689/6	689/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	290													
28	27	691/6	691/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	291													
28	27	231/2	231/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	292													
28	27	695/6	695/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	293													
28	27	697/6	697/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	294													
28	27	701/6	701/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	295													
28	27	703/6	703/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	296													
28	27	235/2	235/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	297													
28	27	707/6	707/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	298													
28	27	709/6	709/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	299													
29	28	237/2	237/2	0.0	0	0	Spanner	4/4	1	1	0																1	
29	28	237/2	237/2	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	300									16			1	
29	28	241/2	241/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	301												1	
29	28	243/2	243/2	0.0	3/4	3/4	Spanner	4/4	1	1	0																	
29	28	713/6	713/6	0.0	1/12	1/12	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
29	28	713/6	713/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	302													
29	28	715/6	715/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	303													
29	28	239/2	239/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	304													
29	28	719/6	719/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	305													
29	28	721/6	721/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	306													
29	28	241/2	241/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	307													
29	28	725/6	725/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	308													
29	28	727/6	727/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	309													
29	28	243/2	243/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	310													
29	28	731/6	731/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	311													
29	28	733/6	733/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	312													
30	29	245/2	245/2	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	313		articTenutoBelow											
30	29	249/2	249/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	314		articTenutoBelow											
30	29	251/2	251/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	315		articTenutoBelow											
30	29	737/6	737/6	0.0	1/12	1/12	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
30	29	737/6	737/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	316													
30	29	739/6	739/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	317													
30	29	247/2	247/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	318													
30	29	743/6	743/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	319													
30	29	745/6	745/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	320													
30	29	249/2	249/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	321													
30	29	749/6	749/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	322													
30	29	751/6	751/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	323													
30	29	251/2	251/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	324													
30	29	755/6	755/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	325													
30	29	757/6	757/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	326													
31	30	253/2	253/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	327									17				
31	30	127	127	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	328									17				
31	30	128	128	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	329									17				
31	30	257/2	257/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	330													
31	30	253/2	253/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
31	30	761/6	761/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	331													
31	30	763/6	763/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	332													
31	30	255/2	255/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	333													
31	30	767/6	767/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	334													
31	30	769/6	769/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	335													
31	30	257/2	257/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	336													
31	30	773/6	773/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	337													
31	30	775/6	775/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	338													
31	30	259/2	259/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	339													
31	30	779/6	779/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	340													
31	30	781/6	781/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	341													
32	31	261/2	261/2	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	342		articAccentBelow											
32	31	265/2	265/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	343		articTenutoBelow											
32	31	267/2	267/2	0.2	3/4	3/4	Chord	4/4	1	1	1/20		1/16	4/5	344		articTenutoBelow											
32	31	1337/10	1337/10	0.2	4/5	4/5	Chord	4/4	1	1	1/20		1/16	4/5	345													
32	31	1339/10	1339/10	0.2	17/20	17/20	Chord	4/4	1	1	1/20		1/16	4/5	346													
32	31	1341/10	1341/10	0.2	9/10	9/10	Chord	4/4	1	1	1/20		1/16	4/5	347													
32	31	1343/10	1343/10	0.2	19/20	19/20	Chord	4/4	1	1	1/20		1/16	4/5	348													
32	31	261/2	261/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
32	31	785/6	785/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	349													
32	31	787/6	787/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	350													
32	31	263/2	263/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	351													
32	31	791/6	791/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	352													
32	31	793/6	793/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	353													
32	31	265/2	265/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	354													
32	31	797/6	797/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	355													
32	31	799/6	799/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	356													
32	31	267/2	267/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	357													
32	31	803/6	803/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	358													
32	31	805/6	805/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	359													
33	32	269/2	269/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	360									18				
33	32	135	135	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	361									18				
33	32	271/2	271/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	362									18				
33	32	136	136	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	363									18				
33	32	273/2	273/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	364									18				
33	32	137	137	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	365									18				
33	32	275/2	275/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	366									18				
33	32	138	138	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	367													
33	32	269/2	269/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
33	32	269/2	269/2	0.0	0	0	Spanner	4/4	2	1	0																	
33	32	269/2	269/2	0.0	0	0	Spanner	4/4	2	1	0																	
33	32	809/6	809/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	368													
33	32	811/6	811/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	369													
33	32	271/2	271/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	370													
33	32	815/6	815/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	371													
33	32	817/6	817/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	372													
33	32	273/2	273/2	0.0	1/2	1/2	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
33	32	273/2	273/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	373													
33	32	821/6	821/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	374													
33	32	823/6	823/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	375													
33	32	275/2	275/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	376													
33	32	827/6	827/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	377													
33	32	829/6	829/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	378													
34	33	277/2	277/2	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	379													
34	33	140	140	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	380													
34	33	281/2	281/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	381													
34	33	141	141	0.0	5/8	5/8	Spanner	4/4	1	1	0															7		
34	33	141	141	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	382		articStaccatoAbove							19		7		
34	33	283/2	283/2	0.75	3/4	3/4	Chord	4/4	1	1	3/16		1/8	3/2	383		articStaccatoAbove							19		7		
34	33	569/4	569/4	0.0	15/16	15/16	Spanner	4/4	1	1	0																	
34	33	569/4	569/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	384		articStaccatoAbove											
34	33	277/2	277/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
34	33	833/6	833/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	385													
34	33	835/6	835/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	386													
34	33	279/2	279/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	387													
34	33	839/6	839/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	388													
34	33	841/6	841/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	389													
34	33	281/2	281/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	390													
34	33	845/6	845/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	391													
34	33	847/6	847/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	392													
34	33	283/2	283/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	393													
34	33	851/6	851/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	394													
34	33	853/6	853/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	395													
35	34	285/2	285/2	0.2	0	0	Chord	4/4	1	1	1/20		1/16	4/5	396													
35	34	1427/10	1427/10	0.2	1/20	1/20	Chord	4/4	1	1	1/20		1/16	4/5	397													
35	34	1429/10	1429/10	0.2	1/10	1/10	Chord	4/4	1	1	1/20		1/16	4/5	398													
35	34	1431/10	1431/10	0.2	3/20	3/20	Chord	4/4	1	1	1/20		1/16	4/5	399													
35	34	1433/10	1433/10	0.2	1/5	1/5	Chord	4/4	1	1	1/20		1/16	4/5	400													
35	34	287/2	287/2	0.3333333333333333	1/4	1/4	Chord	4/4	1	1	1/12		1/8	2/3	401									20				
35	34	863/6	863/6	0.5	1/3	1/3	Chord	4/4	1	1	1/8		1/8	1	402									20				
35	34	433/3	433/3	0.16666666666666666	11/24	11/24	Chord	4/4	1	1	1/24		1/16	2/3	403													
35	34	289/2	289/2	0.3333333333333333	1/2	1/2	Chord	4/4	1	1	1/12		1/8	2/3	404		articAccentAbove							21				
35	34	869/6	869/6	0.3333333333333333	7/12	7/12	Chord	4/4	1	1	1/12		1/8	2/3	405									21				
35	34	871/6	871/6	0.3333333333333333	2/3	2/3	Chord	4/4	1	1	1/12		1/8	2/3	406													
35	34	291/2	291/2	0.3333333333333333	3/4	3/4	Chord	4/4	1	1	1/12		1/8	2/3	407		articAccentAbove							22				
35	34	875/6	875/6	0.5	5/6	5/6	Chord	4/4	1	1	1/8		1/8	1	408									22				
35	34	439/3	439/3	0.16666666666666666	23/24	23/24	Chord	4/4	1	1	1/24		1/16	2/3	409													
35	34	285/2	285/2	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	410													
35	34	285/2	285/2	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
35	34	285/2	285/2	0.3333333333333333	0	0	Chord	4/4	2	1	1/12		1/8	2/3	411													
35	34	857/6	857/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12		1/8	2/3	412													
35	34	859/6	859/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12		1/8	2/3	413													
35	34	287/2	287/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12		1/8	2/3	414													
35	34	863/6	863/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12		1/8	2/3	415													
35	34	865/6	865/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12		1/8	2/3	416													
35	34	289/2	289/2	0.0	1/2	1/2	StaffText	4/4	2	1	0							"<font size=""9.7197""/><font face=""Opus Text Std""/>P"										
35	34	289/2	289/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12		1/8	2/3	417													
35	34	869/6	869/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12		1/8	2/3	418													
35	34	871/6	871/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12		1/8	2/3	419													
35	34	291/2	291/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12		1/8	2/3	420													
35	34	875/6	875/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12		1/8	2/3	421													
35	34	877/6	877/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12		1/8	2/3	422													
36	35	293/2	293/2	0.0	0	0	StaffText	10/4	1	1	0							accel.										
36	35	293/2	293/2	0.0	0	0	StaffText	10/4	1	1	0							"<font size=""9.7197""/><font face=""Plantin MT Std""/>quasi cadenza"										
36	35	293/2	293/2	0.0	0	0	Spanner	10/4	1	1	0																	0
36	35	293/2	293/2	0.0	0	0	Spanner	10/4	1	1	0																	0
36	35	293/2	293/2	0.0	0	0	Spanner	10/4	1	1	0																	0
36	35	293/2	293/2	1.0	0	0	Chord	10/4	1	1	1/4		1/4	1	423													0
36	35	148	148	0.5	3/8	3/8	Chord	10/4	1	1	1/8		1/8	1	424		articMarcatoAbove											0
36	35	297/2	297/2	0.3333333333333333	1/2	1/2	Chord	10/4	1	1	1/12		1/8	2/3	425													0
36	35	893/6	893/6	0.16666666666666666	7/12	7/12	Chord	10/4	1	1	1/24		1/16	2/3	426													0
36	35	149	149	0.16666666666666666	5/8	5/8	Chord	10/4	1	1	1/24		1/16	2/3	427													0
36	35	895/6	895/6	0.16666666666666666	2/3	2/3	Chord	10/4	1	1	1/24		1/16	2/3	428													0
36	35	448/3	448/3	0.16666666666666666	17/24	17/24	Chord	10/4	1	1	1/24		1/16	2/3	429													0
36	35	299/2	299/2	0.16666666666666666	3/4	3/4	Chord	10/4	1	1	1/24		1/16	2/3	430													0
36	35	449/3	449/3	0.16666666666666666	19/24	19/24	Chord	10/4	1	1	1/24		1/16	2/3	431													0
36	35	899/6	899/6	0.16666666666666666	5/6	5/6	Chord	10/4	1	1	1/24		1/16	2/3	432													0
36	35	150	150	0.16666666666666666	7/8	7/8	Chord	10/4	1	1	1/24		1/16	2/3	433													0
36	35	901/6	901/6	0.16666666666666666	11/12	11/12	Chord	10/4	1	1	1/24		1/16	2/3	434													0
