mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Ottava:8va
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	144		articStaccatoAbove		35				
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	145		articStaccatoAbove		35				
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	146		articStaccatoAbove		35				
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	147		articStaccatoAbove		35				
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	148		articStaccatoAbove						
14	14	52	52	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	149								
14	14	107/2	107/2	0.0	3/8	3/8	StaffText	4/4	1	1	0							"<font size=""12""/>rinforz."					
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	150				36				
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	151				36				
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	152				36				
14	14	52	52	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	153								
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	154				37				
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	155				37				
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	156				37				
15	15	56	56	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	157								
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	158				38				
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	159				38				
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	160								
15	15	56	56	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	161								
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	162				39				
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	163				39				
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	164								
16	16	60	60	0.0	0	0	Spanner	4/4	1	1	0											2	
16	16	60	60	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	165							2	
16	16	241/4	241/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	166							2	
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	167							2	
16	16	61	61	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	168							2	
16	16	245/4	245/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	169							2	
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	170							2	
16	16	62	62	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	171							2	
16	16	249/4	249/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	172							2	
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	173							2	
16	16	63	63	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	174							2	
16	16	253/4	253/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	175							2	
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	176							2	
16	16	60	60	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	177								
16	16	241/4	241/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	178								
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	179								
16	16	61	61	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	180								
16	16	245/4	245/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	181								
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	182								
16	16	62	62	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	183								
16	16	249/4	249/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	184								
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	185								
16	16	63	63	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	186								
16	16	253/4	253/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	187								
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	188								
17	17	64	64	0.0	0	0	StaffText	4/4	1	1	0							"<font size=""12""/>dim."					
17	17	64	64	0.0	0	0	Spanner	4/4	1	1	0												
17	17	64	64	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	189								
17	17	66	66	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	190								
17	17	64	64	0.25	0	0	Chord	4/4	1	2	1/16		1/16	1	191								
17	17	257/4	257/4	0.25	1/16	1/16	Chord	4/4	1	2	1/16		1/16	1	192								
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	193								
17	17	65	65	0.25	1/4	1/4	Chord	4/4	1	2	1/16		1/16	1	194								
17	17	261/4	261/4	0.25	5/16	5/16	Chord	4/4	1	2	1/16		1/16	1	195								
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	196								
