mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin	crescendo_line	HairPin:2_poco a poco cresc.	Ottava:8va
22	22	128	128	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	271											
22	22	129	129	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	272											
22	22	130	130	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	273											
22	22	131	131	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	274											
23	23	132	132	0.0	0	0	Spanner	6/4	1	1	0												0	0	0
23	23	132	132	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	275									0	0	0
23	23	265/2	265/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	276									0	0	0
23	23	133	133	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	277									0	0	0
23	23	267/2	267/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	278									0	0	0
23	23	134	134	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	279									0	0	0
23	23	269/2	269/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	280									0	0	0
23	23	135	135	0.5	3/4	3/4	Chord	6/4	1	1	1/8	1/8	1	281									0	0	0
23	23	271/2	271/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	282									0	0	0
23	23	136	136	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	283									0	0	0
23	23	273/2	273/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	284									0	0	0
23	23	137	137	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	285									0	0	0
23	23	275/2	275/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	286									0	0	0
23	23	132	132	3.0	0	0	Chord	6/4	1	2	3/4	1/2	3/2	287									0	0	0
23	23	135	135	3.0	3/4	3/4	Chord	6/4	1	2	3/4	1/2	3/2	288									0	0	0
23	23	133	133	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	289											
23	23	134	134	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	290											
23	23	135	135	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	291											
23	23	136	136	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	292											
23	23	137	137	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	293											
24	24	138	138	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	294									0	0	0
24	24	277/2	277/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	295									0	0	0
24	24	139	139	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	296									0	0	0
24	24	279/2	279/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	297									0	0	0
24	24	140	140	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	298									0	0	0
24	24	281/2	281/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	299									0	0	0
24	24	141	141	0.5	3/4	3/4	Chord	6/4	1	1	1/8	1/8	1	300									0	0	0
24	24	283/2	283/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	301									0	0	0
24	24	142	142	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	302									0	0	0
24	24	285/2	285/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	303									0	0	0
24	24	143	143	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	304									0	0	0
24	24	287/2	287/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	305									0	0	0
24	24	138	138	3.0	0	0	Chord	6/4	1	2	3/4	1/2	3/2	306									0	0	0
24	24	141	141	3.0	3/4	3/4	Chord	6/4	1	2	3/4	1/2	3/2	307									0	0	0
24	24	138	138	1.0	0	0	Chord	6/4	2	1	1/4	1/4	1	308											
24	24	139	139	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	309											
24	24	140	140	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	310											
24	24	141	141	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	311											
24	24	142	142	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	312											
24	24	143	143	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	313											
25	25	144	144	0.0	0	0	StaffText	6/4	1	1	0						<i>molto rinfz.</i>						0	0	0
25	25	144	144	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	314				19					0	0	0
25	25	289/2	289/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	315				19					0	0	0
25	25	145	145	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	316				19					0	0	0
25	25	291/2	291/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	317				19					0	0	0
25	25	146	146	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	318				19					0	0	0
25	25	293/2	293/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	319									0	0	0
25	25	147	147	0.5	3/4	3/4	Chord	6/4	1	1	1/8	1/8	1	320				20					0	0	0
25	25	295/2	295/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	321				20					0	0	0
25	25	148	148	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	322				20					0	0	0
25	25	297/2	297/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	323				20					0	0	0
25	25	149	149	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	324				20					0	0	0
25	25	299/2	299/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	325									0	0	0
25	25	144	144	3.0	0	0	Chord	6/4	1	2	3/4	1/2	3/2	326									0	0	0
25	25	147	147	3.0	3/4	3/4	Chord	6/4	1	2	3/4	1/2	3/2	327									0	0	0
25	25	145	145	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	328											
25	25	146	146	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	329											
25	25	147	147	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	330											
25	25	148	148	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	331											
25	25	149	149	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	332											
26	26	150	150	0.5	0	0	Chord	6/4	1	1	1/8	1/8	1	333				21					0	0	0
26	26	301/2	301/2	0.5	1/8	1/8	Chord	6/4	1	1	1/8	1/8	1	334				21					0	0	0
26	26	151	151	0.5	1/4	1/4	Chord	6/4	1	1	1/8	1/8	1	335				21					0	0	0
26	26	303/2	303/2	0.5	3/8	3/8	Chord	6/4	1	1	1/8	1/8	1	336				21					0	0	0
26	26	152	152	0.5	1/2	1/2	Chord	6/4	1	1	1/8	1/8	1	337				21					0	0	0
26	26	305/2	305/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	338									0	0	0
26	26	153	153	0.5	3/4	3/4	Chord	6/4	1	1	1/8	1/8	1	339				22					0	0	0
26	26	307/2	307/2	0.5	7/8	7/8	Chord	6/4	1	1	1/8	1/8	1	340				22					0	0	0
26	26	154	154	0.5	1	1	Chord	6/4	1	1	1/8	1/8	1	341				22					0	0	0
26	26	309/2	309/2	0.5	9/8	9/8	Chord	6/4	1	1	1/8	1/8	1	342				22					0	0	0
26	26	155	155	0.5	5/4	5/4	Chord	6/4	1	1	1/8	1/8	1	343				22					0	0	0
26	26	311/2	311/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	344									0	0	0
26	26	150	150	3.0	0	0	Chord	6/4	1	2	3/4	1/2	3/2	345									0	0	0
26	26	153	153	3.0	3/4	3/4	Chord	6/4	1	2	3/4	1/2	3/2	346									0	0	0
26	26	151	151	1.0	1/4	1/4	Chord	6/4	2	1	1/4	1/4	1	347											
26	26	152	152	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	348											
26	26	153	153	0.0	3/4	3/4	Spanner	6/4	2	1	0								0	0					
26	26	153	153	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	349					0	0					
26	26	154	154	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	350					0	0					
26	26	155	155	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	351					0	0					
27	27	156	156	0.0	0	0	StaffText	4/4	1	1	0						ritard.						0	0	0
27	27	156	156	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	352									0	0	0
27	27	157	157	0.0	1/4	1/4	Dynamic	4/4	1	1	0				ff								0	0	
27	27	157	157	0.0	1/4	1/4	Spanner	4/4	1	1	0												0	0	
27	27	156	156	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	353					0	0					
27	27	157	157	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	354		articAccentBelow			0	0					
27	27	158	158	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	355		articAccentBelow			0	0					
27	27	159	159	0.0	3/4	3/4	Spanner	4/4	2	1	0														
27	27	159	159	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	356		articAccentBelow									
28	28	160	160	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	357											
28	28	162	162	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	358		articAccentBelow									
29	29	164	164	0.0	0	0	Spanner	6/4	1	1	0														
29	29	164	164	4.0	0	0	Chord	6/4	2	1	1	1	1	359		articMarcatoAbove									
30	30	170	170	0.0	0	0	StaffText	6/4	1	1	0						Andante quieto								
30	30	171	171	0.0	1/4	1/4	StaffText	6/4	1	1	0						<i>dolce</i>								
30	30	171	171	1.5	1/4	1/4	Chord	6/4	1	1	3/8	1/4	3/2	360				23							
30	30	345/2	345/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	361				23							
30	30	173	173	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	362		articStaccatoBelow									
30	30	171	171	2.0	1/4	1/4	Chord	6/4	1	2	1/2	1/2	1	363											
30	30	171	171	2.0	1/4	1/4	Chord	6/4	2	1	1/2	1/2	1	364											
30	30	174	174	1.5	1	1	Chord	6/4	2	1	3/8	1/4	3/2	365				24							
30	30	351/2	351/2	0.5	11/8	11/8	Chord	6/4	2	1	1/8	1/8	1	366				24							
31	31	177	177	1.5	1/4	1/4	Chord	6/4	1	1	3/8	1/4	3/2	367				25							
31	31	357/2	357/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	368				25							
31	31	179	179	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	369		articStaccatoBelow									
31	31	177	177	2.0	1/4	1/4	Chord	6/4	1	2	1/2	1/2	1	370											
31	31	176	176	1.0	0	0	Chord	6/4	2	1	1/4	1/4	1	371		articStaccatoAbove									
31	31	177	177	2.0	1/4	1/4	Chord	6/4	2	1	1/2	1/2	1	372											
31	31	180	180	1.5	1	1	Chord	6/4	2	1	3/8	1/4	3/2	373											
31	31	363/2	363/2	0.5	11/8	11/8	Chord	6/4	2	1	1/8	1/8	1	374											
32	32	183	183	1.0	1/4	1/4	Chord	6/4	1	1	1/4	1/4	1	375				26							
32	32	184	184	1.0	1/2	1/2	Chord	6/4	1	1	1/4	1/4	1	376				26							
32	32	185	185	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	377				26							
32	32	186	186	1.0	1	1	Chord	6/4	1	1	1/4	1/4	1	378				26							
32	32	187	187	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	379				26							
32	32	183	183	2.0	1/4	1/4	Chord	6/4	1	2	1/2	1/2	1	380											
32	32	185	185	3.0	3/4	3/4	Chord	6/4	1	2	3/4	1/2	3/2	381											
32	32	182	182	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	382				27							
32	32	184	184	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	383				27							
32	32	185	185	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	384				27							
32	32	186	186	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	385				27							
32	32	187	187	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	386				27							
33	33	188	188	3.0	0	0	Chord	6/4	1	1	3/4	1/2	3/2	387				26							
33	33	191	191	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	388											
33	33	188	188	1.0	0	0	Chord	6/4	1	2	1/4	1/4	1	389											
33	33	189	189	1.0	1/4	1/4	Chord	6/4	1	2	1/4	1/4	1	390											
33	33	190	190	1.0	1/2	1/2	Chord	6/4	1	2	1/4	1/4	1	391											
33	33	191	191	1.0	3/4	3/4	Chord	6/4	1	2	1/4	1/4	1	392											
33	33	188	188	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	393				27							
33	33	191	191	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	394											
34	34	195	195	1.5	1/4	1/4	Chord	6/4	1	1	3/8	1/4	3/2	395		articTenutoAbove		28							
34	34	393/2	393/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	396				28							
34	34	197	197	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	397											
34	34	195	195	2.0	1/4	1/4	Chord	6/4	1	2	1/2	1/2	1	398											
34	34	195	195	2.0	1/4	1/4	Chord	6/4	2	1	1/2	1/2	1	399											
34	34	198	198	1.5	1	1	Chord	6/4	2	1	3/8	1/4	3/2	400				29							
34	34	399/2	399/2	0.5	11/8	11/8	Chord	6/4	2	1	1/8	1/8	1	401				29							
35	35	201	201	1.5	1/4	1/4	Chord	6/4	1	1	3/8	1/4	3/2	402		articTenutoAbove		30							
35	35	405/2	405/2	0.5	5/8	5/8	Chord	6/4	1	1	1/8	1/8	1	403				30							
35	35	203	203	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	404											
35	35	201	201	2.0	1/4	1/4	Chord	6/4	1	2	1/2	1/2	1	405											
35	35	200	200	1.0	0	0	Chord	6/4	2	1	1/4	1/4	1	406											
35	35	201	201	2.0	1/4	1/4	Chord	6/4	2	1	1/2	1/2	1	407											
35	35	204	204	1.5	1	1	Chord	6/4	2	1	3/8	1/4	3/2	408				31							
35	35	411/2	411/2	0.5	11/8	11/8	Chord	6/4	2	1	1/8	1/8	1	409				31							
36	36	207	207	1.0	1/4	1/4	Chord	6/4	1	1	1/4	1/4	1	410				32							
36	36	208	208	0.0	1/2	1/2	Spanner	6/4	1	1	0							32				0			
36	36	208	208	1.0	1/2	1/2	Chord	6/4	1	1	1/4	1/4	1	411				32				0			
36	36	209	209	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	412				32				0			
36	36	210	210	1.5	1	1	Chord	6/4	1	1	3/8	1/4	3/2	413				32				0			
36	36	423/2	423/2	0.0	11/8	11/8	Spanner	6/4	1	1	0							32							
36	36	423/2	423/2	0.5	11/8	11/8	Chord	6/4	1	1	1/8	1/8	1	414				32							
36	36	207	207	2.0	1/4	1/4	Chord	6/4	1	2	1/2	1/2	1	415											
36	36	209	209	1.0	3/4	3/4	Chord	6/4	1	2	1/4	1/4	1	416											
36	36	210	210	1.5	1	1	Chord	6/4	1	2	3/8	1/4	3/2	417											
36	36	423/2	423/2	0.5	11/8	11/8	Chord	6/4	1	2	1/8	1/8	1	418											
36	36	206	206	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	419				31							
36	36	208	208	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	420				31							
36	36	209	209	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	421				31							
36	36	210	210	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	422				31							
36	36	211	211	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	423											
37	37	212	212	0.0	0	0	StaffText	6/4	1	1	0						<i>smorz.</i>	32							
37	37	212	212	0.0	0	0	Spanner	6/4	1	1	0							32			4				
37	37	212	212	3.0	0	0	Chord	6/4	1	1	3/4	1/2	3/2	424				32			4				
37	37	215	215	0.0	3/4	3/4	Spanner	6/4	1	1	0														
37	37	215	215	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	425											
37	37	212	212	3.0	0	0	Chord	6/4	1	2	3/4	1/2	3/2	426											
37	37	215	215	1.0	3/4	3/4	Chord	6/4	1	2	1/4	1/4	1	427											
37	37	212	212	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	428											
37	37	214	214	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	429											
37	37	215	215	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	430											
37	37	212	212	3.0	0	0	Chord	6/4	2	2	3/4	1/2	3/2	431											
37	37	215	215	1.0	3/4	3/4	Chord	6/4	2	2	1/4	1/4	1	432											
38	38	218	218	0.0	0	0	StaffText	6/4	1	1	0						Più lento								
38	38	218	218	0.0	0	0	StaffText	6/4	1	1	0						dolciss.								
38	38	218	218	0.0	0	0	Dynamic	6/4	1	1	0				ppp										
38	38	218	218	3.0	0	0	Chord	6/4	1	1	3/4	1/2	3/2	433				33							
38	38	221	221	2.0	3/4	3/4	Chord	6/4	1	1	1/2	1/2	1	434		articStaccatoBelow		33							
38	38	223	223	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	435		articStaccatoBelow									
38	38	218	218	0.0	0	0	StaffText	6/4	2	1	0						una corda								
38	38	218	218	0.0	0	0	StaffText	6/4	2	1	0						 à chaque mesure								
38	38	218	218	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	436				34							
38	38	221	221	2.0	3/4	3/4	Chord	6/4	2	1	1/2	1/2	1	437		articStaccatoBelow		34							
38	38	223	223	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	438		articStaccatoBelow									
39	39	224	224	3.0	0	0	Chord	6/4	1	1	3/4	1/2	3/2	439		articTenutoAbove		35							
39	39	227	227	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	440				35							
39	39	228	228	1.0	1	1	Chord	6/4	1	1	1/4	1/4	1	441				35							
39	39	229	229	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	442											
39	39	224	224	3.0	0	0	Chord	6/4	1	2	3/4	1/2	3/2	443											
39	39	224	224	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	444											
40	40	230	230	3.0	0	0	Chord	6/4	1	1	3/4	1/2	3/2	445				36							
40	40	233	233	2.0	3/4	3/4	Chord	6/4	1	1	1/2	1/2	1	446		articStaccatoBelow		36							
40	40	235	235	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	447		articStaccatoBelow									
40	40	230	230	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	448				37							
40	40	233	233	2.0	3/4	3/4	Chord	6/4	2	1	1/2	1/2	1	449		articStaccatoBelow		37							
40	40	235	235	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	450		articStaccatoBelow									
41	41	236	236	3.0	0	0	Chord	6/4	1	1	3/4	1/2	3/2	451		articTenutoAbove		38							
41	41	239	239	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	452				38							
41	41	240	240	1.0	1	1	Chord	6/4	1	1	1/4	1/4	1	453				38							
41	41	241	241	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	454											
41	41	236	236	3.0	0	0	Chord	6/4	1	2	3/4	1/2	3/2	455											
41	41	236	236	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	456											
42	42	242	242	0.0	0	0	Spanner	6/4	1	1	0											1			
42	42	242	242	3.0	0	0	Chord	6/4	1	1	3/4	1/2	3/2	457								1			
42	42	245	245	3.0	3/4	3/4	Chord	6/4	1	1	3/4	1/2	3/2	458								1			
42	42	242	242	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	459											
42	42	245	245	3.0	3/4	3/4	Chord	6/4	2	1	3/4	1/2	3/2	460											
43	43	248	248	3.0	0	0	Chord	6/4	1	1	3/4	1/2	3/2	461				39				1			
43	43	251	251	0.0	3/4	3/4	Spanner	6/4	1	1	0							39							
43	43	251	251	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	462				39							
43	43	252	252	1.0	1	1	Chord	6/4	1	1	1/4	1/4	1	463				39							
43	43	253	253	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	464											
43	43	248	248	6.0	0	0	Chord	6/4	1	2	3/2	1	3/2	465											
43	43	248	248	6.0	0	0	Chord	6/4	2	1	3/2	1	3/2	466											
44	44	254	254	3.0	0	0	Chord	6/4	1	1	3/4	1/2	3/2	467				40							
44	44	257	257	2.0	3/4	3/4	Chord	6/4	1	1	1/2	1/2	1	468											
44	44	259	259	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	469											
44	44	254	254	3.0	0	0	Chord	6/4	1	2	3/4	1/2	3/2	470		articAccentBelow									
44	44	257	257	2.0	3/4	3/4	Chord	6/4	1	2	1/2	1/2	1	471											
44	44	259	259	1.0	5/4	5/4	Chord	6/4	1	2	1/4	1/4	1	472											
44	44	254	254	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	473				41							
44	44	257	257	2.0	3/4	3/4	Chord	6/4	2	1	1/2	1/2	1	474											
44	44	259	259	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	475											
45	45	260	260	3.0	0	0	Chord	6/4	1	1	3/4	1/2	3/2	476				42							
45	45	263	263	2.0	3/4	3/4	Chord	6/4	1	1	1/2	1/2	1	477		articStaccatoAbove		42							
45	45	265	265	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	478		articStaccatoAbove									
45	45	260	260	3.0	0	0	Chord	6/4	1	2	3/4	1/2	3/2	479											
45	45	263	263	2.0	3/4	3/4	Chord	6/4	1	2	1/2	1/2	1	480											
45	45	265	265	1.0	5/4	5/4	Chord	6/4	1	2	1/4	1/4	1	481											
45	45	260	260	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	482				43							
45	45	263	263	2.0	3/4	3/4	Chord	6/4	2	1	1/2	1/2	1	483		articStaccatoAbove		43							
45	45	265	265	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	484		articStaccatoAbove									
46	46	266	266	6.0	0	0	Chord	6/4	1	1	3/2	1	3/2	485											
46	46	266	266	2.0	0	0	Chord	6/4	1	2	1/2	1/2	1	486				44							
46	46	268	268	1.0	1/2	1/2	Chord	6/4	1	2	1/4	1/4	1	487				44							
46	46	269	269	1.0	3/4	3/4	Chord	6/4	1	2	1/4	1/4	1	488				44							
46	46	270	270	1.0	1	1	Chord	6/4	1	2	1/4	1/4	1	489				44							
46	46	271	271	1.0	5/4	5/4	Chord	6/4	1	2	1/4	1/4	1	490											
46	46	266	266	6.0	0	0	Chord	6/4	2	1	3/2	1	3/2	491											
47	47	272	272	3.0	0	0	Chord	6/4	1	1	3/4	1/2	3/2	492				45							
47	47	275	275	2.0	3/4	3/4	Chord	6/4	1	1	1/2	1/2	1	493		articStaccatoAbove		45							
47	47	277	277	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	494		articStaccatoAbove									
47	47	272	272	3.0	0	0	Chord	6/4	1	2	3/4	1/2	3/2	495											
47	47	275	275	2.0	3/4	3/4	Chord	6/4	1	2	1/2	1/2	1	496											
47	47	277	277	1.0	5/4	5/4	Chord	6/4	1	2	1/4	1/4	1	497											
47	47	272	272	3.0	0	0	Chord	6/4	2	1	3/4	1/2	3/2	498				46							
47	47	275	275	2.0	3/4	3/4	Chord	6/4	2	1	1/2	1/2	1	499		articStaccatoAbove		46							
47	47	277	277	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	500		articStaccatoAbove									
48	48	278	278	6.0	0	0	Chord	6/4	1	1	3/2	1	3/2	501											
48	48	278	278	2.0	0	0	Chord	6/4	1	2	1/2	1/2	1	502				47							
48	48	280	280	1.0	1/2	1/2	Chord	6/4	1	2	1/4	1/4	1	503				47							
48	48	281	281	1.0	3/4	3/4	Chord	6/4	1	2	1/4	1/4	1	504				47							
48	48	282	282	1.0	1	1	Chord	6/4	1	2	1/4	1/4	1	505				47							
48	48	283	283	1.0	5/4	5/4	Chord	6/4	1	2	1/4	1/4	1	506											
48	48	278	278	6.0	0	0	Chord	6/4	2	1	3/2	1	3/2	507											
49	49	284	284	2.0	0	0	Chord	6/4	1	1	1/2	1/2	1	508				48							
49	49	286	286	1.0	1/2	1/2	Chord	6/4	1	1	1/4	1/4	1	509		articStaccatoAbove		48							
49	49	287	287	1.0	3/4	3/4	Chord	6/4	1	1	1/4	1/4	1	510		articStaccatoAbove		48							
49	49	288	288	1.0	1	1	Chord	6/4	1	1	1/4	1/4	1	511		articStaccatoAbove		48							
49	49	289	289	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	512		articStaccatoAbove									
49	49	284	284	2.0	0	0	Chord	6/4	1	2	1/2	1/2	1	513											
49	49	286	286	1.0	1/2	1/2	Chord	6/4	1	2	1/4	1/4	1	514											
49	49	287	287	1.0	3/4	3/4	Chord	6/4	1	2	1/4	1/4	1	515											
49	49	288	288	1.0	1	1	Chord	6/4	1	2	1/4	1/4	1	516											
49	49	289	289	1.0	5/4	5/4	Chord	6/4	1	2	1/4	1/4	1	517											
49	49	284	284	2.0	0	0	Chord	6/4	2	1	1/2	1/2	1	518				49							
49	49	286	286	1.0	1/2	1/2	Chord	6/4	2	1	1/4	1/4	1	519		articStaccatoAbove		49							
49	49	287	287	1.0	3/4	3/4	Chord	6/4	2	1	1/4	1/4	1	520		articStaccatoAbove		49							
49	49	288	288	1.0	1	1	Chord	6/4	2	1	1/4	1/4	1	521		articStaccatoAbove		49							
49	49	289	289	1.0	5/4	5/4	Chord	6/4	2	1	1/4	1/4	1	522		articStaccatoAbove									
50	50	290	290	6.0	0	0	Chord	6/4	1	1	3/2	1	3/2	523				50							
50	50	290	290	2.0	0	0	Chord	6/4	1	2	1/2	1/2	1	524											
50	50	292	292	1.0	1/2	1/2	Chord	6/4	1	2	1/4	1/4	1	525											
50	50	293	293	1.0	3/4	3/4	Chord	6/4	1	2	1/4	1/4	1	526											
50	50	294	294	1.0	1	1	Chord	6/4	1	2	1/4	1/4	1	527											
50	50	295	295	1.0	5/4	5/4	Chord	6/4	1	2	1/4	1/4	1	528											
50	50	290	290	6.0	0	0	Chord	6/4	2	1	3/2	1	3/2	529											
51	51	296	296	1.0	0	0	Chord	6/4	1	1	1/4	1/4	1	530				50							
51	51	297	297	1.0	1/4	1/4	Chord	6/4	1	1	1/4	1/4	1	531				50							
51	51	298	298	1.0	1/2	1/2	Chord	6/4	1	1	1/4	1/4	1	532				50							
51	51	299	299	2.0	3/4	3/4	Chord	6/4	1	1	1/2	1/2	1	533				50							
51	51	301	301	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	534											
52	52	302	302	3.0	0	0	Chord	6/4	1	1	3/4	1/2	3/2	535				51							
52	52	305	305	2.0	3/4	3/4	Chord	6/4	1	1	1/2	1/2	1	536		articStaccatoBelow		51							
52	52	307	307	1.0	5/4	5/4	Chord	6/4	1	1	1/4	1/4	1	537		articStaccatoBelow									
52	52	302	302	0.0	0	0	StaffText	6/4	2	1	0						tre corde								
52	52	302	302	1.0	0	0	Chord	6/4	2	1	1/4	1/4	1	538											
52	52	305	305	2.0	3/4	3/4	Chord	6/4	2	1	1/2	1/2	1	539		articStaccatoAbove		52							
