mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	diminuendo_line
6	5	55/2	55/2	1.0	3/8	3/8	Chord	12/8	1	2	1/4	1/4	1	96						
6	5	57/2	57/2	0.5	5/8	5/8	Chord	12/8	1	2	1/8	1/8	1	97						
6	5	27	27	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	98				20		
6	5	55/2	55/2	1.0	3/8	3/8	Chord	12/8	2	1	1/4	1/4	1	99				20		
6	5	57/2	57/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	100				20		
6	5	29	29	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	101				20		
6	5	30	30	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	102				20		
6	5	61/2	61/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	103						
6	5	63/2	63/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	104						
6	5	26	26	6.0	0	0	Chord	12/8	2	2	3/2	1	3/2	105						
7	6	32	32	1.0	0	0	Chord	12/8	2	1	1/4	1/4	1	106						
7	6	33	33	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	107				21		
7	6	67/2	67/2	1.0	3/8	3/8	Chord	12/8	2	1	1/4	1/4	1	108				21		
7	6	69/2	69/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	109						
7	6	35	35	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	110						
7	6	36	36	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	111				22		
7	6	73/2	73/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	112				22		
7	6	75/2	75/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	113						
8	7	38	38	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	114		articStaccatoAbove		23		
8	7	77/2	77/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	115		articStaccatoAbove		23		
8	7	39	39	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	116		articStaccatoAbove				
8	7	79/2	79/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	117				24		
8	7	40	40	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	118						
8	7	81/2	81/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	119						
8	7	41	41	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	120		articStaccatoAbove		25		
8	7	83/2	83/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	121		articStaccatoAbove		25		
8	7	42	42	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	122		articStaccatoAbove				
8	7	85/2	85/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	123				26		
8	7	43	43	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	124						
8	7	87/2	87/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	125						
8	7	79/2	79/2	1.0	3/8	3/8	Chord	12/8	1	2	1/4	1/4	1	126						
8	7	81/2	81/2	0.5	5/8	5/8	Chord	12/8	1	2	1/8	1/8	1	127						
8	7	41	41	0.5	3/4	3/4	Chord	12/8	1	2	1/8	1/8	1	128		articStaccatoBelow				
8	7	83/2	83/2	0.5	7/8	7/8	Chord	12/8	1	2	1/8	1/8	1	129		articStaccatoBelow				
8	7	42	42	0.5	1	1	Chord	12/8	1	2	1/8	1/8	1	130		articStaccatoBelow				
8	7	85/2	85/2	1.0	9/8	9/8	Chord	12/8	1	2	1/4	1/4	1	131						
8	7	87/2	87/2	0.5	11/8	11/8	Chord	12/8	1	2	1/8	1/8	1	132						
8	7	39	39	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	133				27		
8	7	79/2	79/2	1.0	3/8	3/8	Chord	12/8	2	1	1/4	1/4	1	134				27		
8	7	81/2	81/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	135				27		
8	7	41	41	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	136				27		
8	7	42	42	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	137				27		
8	7	85/2	85/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	138				27		
