mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	TextLine	TextLine_stringendo	decrescendo_hairpin	crescendo_line	crescendo_hairpin	Ottava:8va
31	31	185/2	185/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	265										
31	31	90	90	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	266										
31	31	181/2	181/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	267										
31	31	91	91	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	268										
31	31	183/2	183/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	269										
31	31	92	92	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	270										
31	31	185/2	185/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	271										
31	31	371/4	371/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	272										
32	32	187/2	187/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	273				13						
32	32	94	94	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	274				13						
32	32	189/2	189/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	275				13						
32	32	95	95	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	276				13						
32	32	191/2	191/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	277				13						
32	32	94	94	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	278										
32	32	95	95	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	279										
32	32	191/2	191/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	280										
32	32	93	93	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	281										
32	32	189/2	189/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	282										
32	32	189/2	189/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8		1/8	1	283										
33	33	96	96	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	284				13						
33	33	193/2	193/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	285				13						
33	33	97	97	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	286				13						
33	33	195/2	195/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	287				13						
33	33	98	98	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	288				13						
33	33	197/2	197/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	289										
33	33	193/2	193/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	290										
33	33	97	97	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	291										
33	33	98	98	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	292										
33	33	197/2	197/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	293										
33	33	96	96	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	294										
33	33	193/2	193/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	295										
33	33	97	97	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	296										
33	33	195/2	195/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	297										
33	33	98	98	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	298										
33	33	197/2	197/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	299										
33	33	195/2	195/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	300										
34	34	199/2	199/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	301										
34	34	100	100	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	302										
34	34	201/2	201/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	303										
34	34	101	101	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	304										
34	34	203/2	203/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	305										
34	34	99	99	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	306										
34	34	201/2	201/2	0.0	3/8	3/8	Chord	6/8	2	1	0	grace16	1/16	1	307										
34	34	201/2	201/2	0.0	3/8	3/8	Chord	6/8	2	1	0	grace16	1/16	1	308										
34	34	201/2	201/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	309										
34	34	99	99	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	310										
35	35	102	102	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	311										
35	35	205/2	205/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	312										
35	35	103	103	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	313										
35	35	207/2	207/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	314										
35	35	104	104	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	315										
35	35	209/2	209/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	316										
35	35	102	102	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	317										
35	35	205/2	205/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	318										
35	35	103	103	0.0	1/4	1/4	Chord	6/8	2	1	0	acciaccatura	1/8	1	319										
35	35	103	103	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	320										
35	35	207/2	207/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	321										
35	35	104	104	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	322										
35	35	209/2	209/2	0.375	5/8	5/8	Chord	6/8	2	1	3/32		1/16	3/2	323										
35	35	839/8	839/8	0.125	23/32	23/32	Chord	6/8	2	1	1/32		1/32	1	324										
36	36	211/2	211/2	0.0	1/8	1/8	Spanner	6/8	1	1	0														0
36	36	211/2	211/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	325										0
36	36	106	106	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	326										0
36	36	213/2	213/2	0.0	3/8	3/8	StaffText	6/8	1	1	0							poco cresc.							0
36	36	213/2	213/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	327										0
36	36	107	107	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	328										0
36	36	215/2	215/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	329										0
36	36	211/2	211/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	330										0
36	36	106	106	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	331										0
36	36	107	107	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	332										0
36	36	215/2	215/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	333										0
36	36	105	105	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	334										
36	36	213/2	213/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	335										
36	36	213/2	213/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8		1/8	1	336										
37	37	108	108	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	337										0
37	37	217/2	217/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	338										0
37	37	109	109	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	339										0
37	37	219/2	219/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	340										0
37	37	110	110	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	341										0
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	342										0
37	37	217/2	217/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	343										0
37	37	109	109	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	344										0
37	37	110	110	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	345										0
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	346										0
37	37	108	108	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	347										
37	37	217/2	217/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	348										
37	37	109	109	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	349										
37	37	219/2	219/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	350										
37	37	110	110	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	351										
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	352										
37	37	219/2	219/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	353										
38	38	223/2	223/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	354										0
38	38	112	112	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	355										0
38	38	225/2	225/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	356										0
38	38	113	113	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	357										0
38	38	227/2	227/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	358										0
38	38	223/2	223/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	359										0
38	38	112	112	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	360										0
38	38	113	113	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	361										0
38	38	227/2	227/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	362										0
38	38	111	111	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	363										
38	38	225/2	225/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	364										
38	38	225/2	225/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8		1/8	1	365										
39	39	114	114	0.0	0	0	Spanner	6/8	1	1	0													1	0
39	39	114	114	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	366									1	0
39	39	229/2	229/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	367									1	0
39	39	115	115	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	368									1	0
39	39	231/2	231/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	369									1	0
39	39	116	116	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	370									1	0
39	39	233/2	233/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	371									1	0
39	39	229/2	229/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	372									1	0
39	39	115	115	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	373									1	0
39	39	116	116	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	374									1	0
39	39	233/2	233/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	375									1	0
39	39	114	114	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	376										
39	39	229/2	229/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	377										
39	39	115	115	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	378										
39	39	231/2	231/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	379										
39	39	116	116	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	380										
39	39	233/2	233/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	381										
39	39	231/2	231/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	382										
40	40	117	117	0.0	0	0	Spanner	6/8	1	1	0														0
40	40	235/2	235/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	383										0
40	40	118	118	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	384										0
40	40	237/2	237/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	385										0
40	40	119	119	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	386										0
40	40	239/2	239/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	387										0
40	40	235/2	235/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	388										0
40	40	118	118	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	389										0
40	40	237/2	237/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	390										0
40	40	119	119	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	391										0
40	40	239/2	239/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	392										0
40	40	117	117	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	393										
40	40	118	118	0.0	1/4	1/4	StaffText	6/8	2	1	0							"<font size=""12""/>espressivo"							
40	40	118	118	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	394										
40	40	237/2	237/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	395										
40	40	117	117	0.5	0	0	Chord	6/8	2	2	1/8		1/8	1	396										
41	41	120	120	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	397										0
41	41	241/2	241/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	398										0
41	41	121	121	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	399										0
41	41	243/2	243/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	400										0
41	41	122	122	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	401										0
41	41	245/2	245/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	402										0
41	41	120	120	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	403										0
41	41	241/2	241/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	404										0
41	41	121	121	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	405										0
41	41	243/2	243/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	406										0
41	41	122	122	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	407										0
41	41	245/2	245/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	408										0
41	41	120	120	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	409				14						
41	41	241/2	241/2	0.0	1/8	1/8	Spanner	6/8	2	1	0								14					2	
41	41	241/2	241/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	410				14					2	
41	41	121	121	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	411				14					2	
41	41	243/2	243/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	412				14					2	
41	41	122	122	0.0	1/2	1/2	Spanner	6/8	2	1	0								14						
41	41	122	122	0.75	1/2	1/2	Chord	6/8	2	1	3/16		1/8	3/2	413				14						
41	41	491/4	491/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	414										
41	41	120	120	0.5	0	0	Chord	6/8	2	2	1/8		1/8	1	415										
42	42	123	123	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	416										0
42	42	247/2	247/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	417										0
42	42	124	124	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	418										0
42	42	249/2	249/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	419										0
42	42	125	125	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	420										0
42	42	251/2	251/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	421										0
42	42	123	123	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	422										0
42	42	247/2	247/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	423										0
42	42	124	124	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	424										0
42	42	249/2	249/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	425										0
42	42	125	125	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	426										0
42	42	251/2	251/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	427										0
42	42	123	123	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	428										
42	42	249/2	249/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	429										
43	43	126	126	0.0	0	0	Spanner	6/8	1	1	0														
43	43	126	126	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	430										
43	43	253/2	253/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	431										
43	43	127	127	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	432										
43	43	255/2	255/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	433										
43	43	128	128	0.0	1/2	1/2	Spanner	6/8	1	1	0													3	
43	43	128	128	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	434									3	
43	43	257/2	257/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	435									3	
43	43	126	126	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	436									3	
43	43	253/2	253/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	437									3	
43	43	127	127	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	438									3	
43	43	255/2	255/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	439									3	
43	43	128	128	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	440									3	
43	43	257/2	257/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	441									3	
43	43	126	126	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	442										
43	43	255/2	255/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	443										
44	44	129	129	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	444									3	
44	44	259/2	259/2	0.0	1/8	1/8	Spanner	6/8	1	1	0														
44	44	259/2	259/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	445										
44	44	130	130	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	446										
44	44	261/2	261/2	0.0	3/8	3/8	StaffText	6/8	1	1	0							"<font size=""12""/>ritenuto molto"							
44	44	261/2	261/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	447										
44	44	131	131	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	448										
44	44	263/2	263/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	449										
44	44	129	129	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	450										
44	44	259/2	259/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	451										
44	44	130	130	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	452										
44	44	261/2	261/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	453										
44	44	131	131	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	454										
44	44	263/2	263/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	455										
44	44	129	129	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	456										
44	44	130	130	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	457										
44	44	261/2	261/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	458										
45	45	132	132	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	459										
45	45	265/2	265/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	460										
45	45	133	133	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	461										
45	45	267/2	267/2	0.375	3/8	3/8	Chord	6/8	1	1	3/32		1/8	3/4	462				15						
45	45	1071/8	1071/8	0.375	15/32	15/32	Chord	6/8	1	1	3/32		1/8	3/4	463				15						
45	45	537/4	537/4	0.5625	9/16	9/16	Chord	6/8	1	1	9/64		1/8	9/8	464				15						
45	45	2157/16	2157/16	0.1875	45/64	45/64	Chord	6/8	1	1	3/64		1/16	3/4	465										
45	45	132	132	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	466										
45	45	265/2	265/2	0.5	1/8	1/8	Chord	6/8	1	2	1/8		1/8	1	467										
45	45	133	133	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	468										
45	45	267/2	267/2	0.375	3/8	3/8	Chord	6/8	1	2	3/32		1/8	3/4	469										
45	45	1071/8	1071/8	0.375	15/32	15/32	Chord	6/8	1	2	3/32		1/8	3/4	470										
45	45	537/4	537/4	0.375	9/16	9/16	Chord	6/8	1	2	3/32		1/8	3/4	471										
45	45	132	132	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	472				16						
45	45	265/2	265/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	473		articTenutoBelow		16						
45	45	133	133	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	474		articTenutoBelow		16						
45	45	267/2	267/2	0.375	3/8	3/8	Chord	6/8	2	1	3/32		1/8	3/4	475		articTenutoBelow		16						
45	45	1071/8	1071/8	0.75	15/32	15/32	Chord	6/8	2	1	3/16		1/4	3/4	476		articAccentBelow		16						
45	45	1077/8	1077/8	0.375	21/32	21/32	Chord	6/8	2	1	3/32		1/8	3/4	477										
46	46	135	135	0.0	0	0	StaffText	2/4	1	1	0							Caantabile con moto (sempre rubato)							
46	46	135	135	0.0	0	0	StaffText	2/4	1	1	0							la melodia accentuato assai							
46	46	135	135	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	478				17						
46	46	543/4	543/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	479				18						
46	46	136	136	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	480				18						
46	46	545/4	545/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	481				18						
46	46	273/2	273/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	482				18						
46	46	547/4	547/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	483										
46	46	135	135	0.0	0	0	StaffText	2/4	2	1	0							"<font size=""12""/><i>tre corde</i>"							
46	46	135	135	0.0	0	0	StaffText	2/4	2	1	0							L'accompagnamento dolce, quasi arpa							
46	46	135	135	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	484										
47	47	137	137	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	485				17						
47	47	277/2	277/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	486										
47	47	551/4	551/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	487				19						
47	47	138	138	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	488				19						
47	47	553/4	553/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	489				19						
47	47	277/2	277/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	490				19						
47	47	555/4	555/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	491										
48	48	139	139	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	492		articAccentAbove		20						
48	48	559/4	559/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	493										
48	48	140	140	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	494										
48	48	561/4	561/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	495										
48	48	281/2	281/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	496										
48	48	563/4	563/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	497										
48	48	139	139	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	498										
49	49	141	141	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	499										
49	49	567/4	567/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	500										
49	49	142	142	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	501										
49	49	569/4	569/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	502										
49	49	285/2	285/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	503										
49	49	571/4	571/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	504										
50	50	143	143	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	505		articAccentAbove		21						
50	50	575/4	575/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	506										
50	50	144	144	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	507										
50	50	577/4	577/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	508										
50	50	289/2	289/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	509										
50	50	579/4	579/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	510										
50	50	143	143	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	511										
51	51	145	145	1.5	0	0	Chord	2/4	1	1	3/8		1/4	3/2	512				21						
51	51	293/2	293/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	513										
51	51	583/4	583/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	514										
51	51	146	146	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	515										
51	51	585/4	585/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	516										
51	51	293/2	293/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	517										
51	51	587/4	587/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	518										
52	52	147	147	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	519				22						
52	52	591/4	591/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	520										
52	52	148	148	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	521										
52	52	593/4	593/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	522										
52	52	297/2	297/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	523										
52	52	595/4	595/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	524										
52	52	147	147	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	525										
53	53	149	149	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	526										
53	53	599/4	599/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	527										
53	53	150	150	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	528										
53	53	601/4	601/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	529										
53	53	301/2	301/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	530										
53	53	603/4	603/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	531										
54	54	151	151	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	532				23						
54	54	607/4	607/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	533										
54	54	152	152	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	534										
54	54	609/4	609/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	535										
54	54	305/2	305/2	0.0	3/8	3/8	Spanner	2/4	1	2	0													4	
54	54	305/2	305/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	536									4	
54	54	611/4	611/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	537									4	
54	54	151	151	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	538										
55	55	153	153	1.75	0	0	Chord	2/4	1	1	7/16		1/4	7/4	539				23					4	
