mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	crescendo_hairpin	decrescendo_hairpin
28	27	105	105	0.0	0	0	StaffText	4/4	2	1	0						"<font size=""10.7429""/><font face=""Opus Text Std""/>P"									
28	27	105	105	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	237												
28	27	211/2	211/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	238												
28	27	106	106	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	239												
28	27	213/2	213/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	240												
28	27	107	107	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	241												
28	27	215/2	215/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	242												
28	27	108	108	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	243												
28	27	217/2	217/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	244												
29	28	109	109	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	245												
29	28	110	110	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	246												
29	28	112	112	0.0	3/4	3/4	Spanner	4/4	1	1	0														7	
29	28	112	112	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	247											7	
29	28	451/4	451/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	248											7	
29	28	109	109	0.0	0	0	StaffText	4/4	2	1	0						"<font size=""10.7429""/><font face=""Opus Text Std""/>P"									
29	28	109	109	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	249												
29	28	219/2	219/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	250												
29	28	110	110	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	251												
29	28	221/2	221/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	252												
29	28	111	111	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	253												
29	28	223/2	223/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	254												
29	28	112	112	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	255												
29	28	225/2	225/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	256												
30	29	113	113	1.75	0	0	Chord	4/4	1	1	7/16	1/4	7/4	257											7	
30	29	459/4	459/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	258											7	
30	29	115	115	1.75	1/2	1/2	Chord	4/4	1	1	7/16	1/4	7/4	259											7	
30	29	467/4	467/4	0.0	15/16	15/16	Spanner	4/4	1	1	0															
30	29	467/4	467/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	260												
30	29	113	113	0.0	0	0	StaffText	4/4	2	1	0						"<font size=""10.7429""/><font face=""Opus Text Std""/>P"									
30	29	113	113	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	261												
30	29	227/2	227/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	262												
30	29	114	114	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	263												
30	29	229/2	229/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	264												
30	29	115	115	0.0	1/2	1/2	StaffText	4/4	2	1	0						"<font size=""10.7429""/><font face=""Opus Text Std""/>P"									
30	29	115	115	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	265												
30	29	231/2	231/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	266												
30	29	116	116	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	267												
30	29	233/2	233/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	268												
31	30	117	117	4.0	0	0	Chord	4/4	1	1	1	1	1	269												
31	30	117	117	0.0	0	0	StaffText	4/4	2	1	0						"<font size=""10.7429""/><font face=""Plantin MT Std""/>rinforz."									
31	30	117	117	0.0	0	0	Spanner	4/4	2	1	0													7		
31	30	117	117	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	270										7		
31	30	235/2	235/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	271										7		
31	30	118	118	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	272										7		
31	30	237/2	237/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	273										7		
31	30	119	119	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	274										7		
31	30	239/2	239/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	275										7		
31	30	120	120	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	276										7		
31	30	241/2	241/2	0.0	7/8	7/8	Spanner	4/4	2	1	0															
31	30	241/2	241/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	277												
32	31	121	121	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	278												
32	31	121	121	0.0	0	0	Spanner	4/4	2	1	0															8
32	31	121	121	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	279												8
32	31	243/2	243/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	280												8
32	31	122	122	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	281												8
32	31	245/2	245/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	282												8
32	31	123	123	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	283												8
32	31	247/2	247/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	284												8
32	31	124	124	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	285												8
32	31	249/2	249/2	0.0	7/8	7/8	Spanner	4/4	2	1	0															
32	31	249/2	249/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	286												
33	32	125	125	0.0	0	0	StaffText	4/4	1	1	0						rit.									
33	32	125	125	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	287												
33	32	127	127	1.75	1/2	1/2	Chord	4/4	1	1	7/16	1/4	7/4	288												
33	32	515/4	515/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	289												
33	32	125	125	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	290												
33	32	127	127	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	291												
33	32	125	125	0.0	0	0	StaffText	4/4	2	1	0						"<font size=""10.7429""/><font face=""Opus Text Std""/>P"									
33	32	125	125	0.0	0	0	StaffText	4/4	2	1	0						"<font size=""10.7429""/><font face=""Plantin MT Std""/>dim."									
33	32	125	125	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	292												
33	32	251/2	251/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	293												
33	32	126	126	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	294												
33	32	253/2	253/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	295												
33	32	127	127	0.0	1/2	1/2	Spanner	4/4	2	1	0													8		
33	32	127	127	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	296										8		
33	32	255/2	255/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	297										8		
33	32	128	128	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	298										8		
33	32	257/2	257/2	0.0	7/8	7/8	Spanner	4/4	2	1	0															
33	32	257/2	257/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	299												
34	33	129	129	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	300									8			
34	33	132	132	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	301		articTenutoAbove							8			
34	33	129	129	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	302												
34	33	131	131	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	303												
34	33	129	129	0.0	0	0	Dynamic	4/4	2	1	0				p											
34	33	129	129	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	304												
34	33	131	131	0.0	1/2	1/2	StaffText	4/4	2	1	0						"<font size=""10.7429""/><font face=""Plantin MT Std""/>espr."									
34	33	131	131	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	305												
34	33	129	129	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	306												
35	34	133	133	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	307									8			
35	34	134	134	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	308		articTenutoAbove							8			
35	34	135	135	0.0	1/2	1/2	Spanner	4/4	1	1	0												8			9
35	34	136	136	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	309		articTenutoAbove							8			9
35	34	133	133	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	310												9
35	34	135	135	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	311												9
35	34	133	133	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	312												
35	34	135	135	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	313												
36	35	137	137	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	314									8			9
36	35	138	138	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	315									8			9
36	35	139	139	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	316									8			9
36	35	140	140	0.0	3/4	3/4	Spanner	4/4	1	1	0												8			
36	35	140	140	0.0	3/4	3/4	Spanner	4/4	1	1	0												8			
36	35	140	140	0.0	3/4	3/4	Spanner	4/4	1	1	0												8			
36	35	140	140	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	317									8			
36	35	563/4	563/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	318												
36	35	137	137	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	319												
36	35	139	139	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	320												
36	35	140	140	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	321												
36	35	137	137	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	322												
36	35	139	139	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	323												
36	35	140	140	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	324												
37	36	141	141	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	325									9			
37	36	142	142	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	326									9			
37	36	144	144	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	327									9			
37	36	141	141	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	328												
37	36	143	143	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	329												
37	36	141	141	0.0	0	0	StaffText	4/4	2	1	0						"<font size=""10.7429""/><font face=""Plantin MT Std""/>rinforz."									
37	36	141	141	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	330												
37	36	143	143	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	331												
37	36	141	141	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	332												
37	36	143	143	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	333												
38	37	145	145	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	334									9			
38	37	146	146	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	335									9			
38	37	148	148	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	336									9			
38	37	145	145	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	337												
38	37	147	147	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	338												
38	37	145	145	0.0	0	0	Spanner	4/4	2	1	0															10
38	37	145	145	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	339												10
38	37	147	147	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	340												10
38	37	145	145	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	341												10
38	37	147	147	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	342												10
39	38	149	149	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	343									9			
39	38	150	150	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	344									9			
39	38	151	151	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	345									9			
39	38	152	152	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	346									9			
39	38	611/4	611/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	347									9			
39	38	149	149	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	348												
39	38	151	151	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	349												
39	38	152	152	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	350		articAccentBelow										
39	38	149	149	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	351												10
39	38	151	151	0.0	1/2	1/2	Spanner	4/4	2	1	0															
39	38	151	151	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	352												
39	38	152	152	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	353												
39	38	149	149	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	354												
39	38	151	151	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	355												
39	38	152	152	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	356												
40	39	153	153	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	357												
40	39	156	156	0.0	3/4	3/4	Dynamic	4/4	1	1	0				p											
40	39	156	156	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	358												
40	39	627/4	627/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	359												
40	39	153	153	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	360												
40	39	153	153	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	361												
41	40	157	157	4.0	0	0	Chord	4/4	1	1	1	1	1	362												
41	40	157	157	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	363												
41	40	158	158	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	364												
41	40	639/4	639/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	365												
41	40	160	160	0.75	3/4	3/4	Chord	4/4	1	2	3/16	1/8	3/2	366												
41	40	643/4	643/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	367												
41	40	157	157	0.0	0	0	Spanner	4/4	2	1	0															
41	40	157	157	0.0	0	0	Spanner	4/4	2	1	0															
41	40	157	157	4.0	0	0	Chord	4/4	2	1	1	1	1	368		articAccentBelow										
42	41	161	161	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	369												
42	41	164	164	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	370												
42	41	659/4	659/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	371												
42	41	161	161	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	372												
42	41	161	161	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	373												
42	41	161	161	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	374												
43	42	165	165	4.0	0	0	Chord	4/4	1	1	1	1	1	375									10			
43	42	165	165	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	376												
43	42	166	166	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	377												
43	42	671/4	671/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	378												
43	42	168	168	0.75	3/4	3/4	Chord	4/4	1	2	3/16	1/8	3/2	379												
43	42	675/4	675/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	380												
43	42	165	165	0.0	0	0	Spanner	4/4	2	1	0															
43	42	165	165	0.0	0	0	Spanner	4/4	2	1	0															
43	42	165	165	4.0	0	0	Chord	4/4	2	1	1	1	1	381		articAccentBelow										
44	43	169	169	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	382									10			
44	43	171	171	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	383									10			
44	43	169	169	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	384												
44	43	171	171	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	385												
44	43	169	169	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	386												
44	43	171	171	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	387												
44	43	169	169	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	388												
44	43	171	171	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	389												
45	44	173	173	0.0	0	0	StaffText	4/4	1	1	0						rit.									
45	44	173	173	4.0	0	0	Chord	4/4	1	1	1	1	1	390												
45	44	173	173	0.0	0	0	Spanner	4/4	2	1	0														8	
45	44	173	173	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	391											8	
45	44	174	174	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	392											8	
45	44	175	175	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	393											8	
45	44	176	176	0.0	3/4	3/4	Spanner	4/4	2	1	0															
45	44	176	176	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	394												
46	45	178	178	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	395									11			
46	45	180	180	0.75	3/4	3/4	Chord	4/4	1	1	3/16	1/8	3/2	396									11			
46	45	723/4	723/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	397									11			
46	45	178	178	2.0	1/4	1/4	Chord	4/4	1	2	1/2	1/2	1	398		articAccentBelow										
46	45	180	180	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	399												
46	45	177	177	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	400												
46	45	179	179	0.0	1/2	1/2	Spanner	4/4	2	1	0															
46	45	179	179	0.0	1/2	1/2	Spanner	4/4	2	1	0															
46	45	179	179	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	401												
47	46	181	181	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	402												
47	46	183	183	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	403												
47	46	181	181	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	404												
47	46	181	181	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	405												
47	46	183	183	0.0	1/2	1/2	Dynamic	4/4	2	1	0				pp											
47	46	183	183	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	406												
48	47	185	185	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	407												
48	47	187	187	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	408												
48	47	185	185	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	409												
48	47	187	187	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	410												
