mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	TextLine	TextLine_rall.	decrescendo_hairpin	crescendo_line	crescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
48	47	216	216	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	570		articAccentBelow		26								
48	47	433/2	433/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	571				26								
48	47	217	217	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	572				26								
48	47	435/2	435/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	573												
48	47	218	218	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	574		articAccentBelow		27								
48	47	437/2	437/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	575				27								
48	47	219	219	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	576				27								
48	47	439/2	439/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	577												
48	47	216	216	0.5	0	0	Chord	2/2	2	1	1/8	1/8	1	578				28								
48	47	433/2	433/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	579				28								
48	47	217	217	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	580				28								
48	47	435/2	435/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	581												
48	47	218	218	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	582				29								
48	47	437/2	437/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	583				29								
48	47	219	219	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	584				29								
48	47	439/2	439/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	585												
49	48	220	220	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	586		articStaccatissimoBelow										
49	48	221	221	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	587		articAccentBelow										
49	48	443/2	443/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	588												
49	48	222	222	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	589												
49	48	445/2	445/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	590												
49	48	223	223	0.0	3/4	3/4	Spanner	2/2	1	1	0												32			
49	48	223	223	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	591									32			
49	48	447/2	447/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	592									32			
49	48	220	220	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	593		articStaccatissimoBelow										
49	48	221	221	0.0	1/4	1/4	Spanner	2/2	2	1	0														9	9
49	48	221	221	2.0	1/4	1/4	Chord	2/2	2	1	1/2	1/2	1	594		articAccentBelow									9	9
49	48	223	223	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	595		articAccentBelow									9	9
50	49	224	224	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	596									32			
50	49	449/2	449/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	597									32			
50	49	225	225	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	598									32			
50	49	451/2	451/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	599									32			
50	49	226	226	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	600									32			
50	49	453/2	453/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	601									32			
50	49	227	227	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	602									32			
50	49	455/2	455/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	603									32			
50	49	224	224	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	604											9	9
50	49	225	225	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	605		articAccentBelow									9	9
50	49	226	226	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	606		articAccentBelow									9	9
50	49	227	227	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	607		articAccentBelow									9	9
51	50	228	228	0.0	0	0	Spanner	2/2	1	1	0															
51	50	228	228	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	608		articStaccatissimoAbove										
51	50	459/2	459/2	0.0	3/8	3/8	Spanner	2/2	1	1	0												33			
51	50	459/2	459/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	609				30					33			
51	50	230	230	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	610				30					33			
51	50	461/2	461/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	611				30					33			
51	50	231	231	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	612				30					33			
51	50	463/2	463/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	613									33			
51	50	228	228	0.0	0	0	Spanner	2/2	2	1	0															
51	50	228	228	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	614		articStaccatissimoAbove										
51	50	459/2	459/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	615				31								
51	50	230	230	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	616				31								
51	50	461/2	461/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	617				31								
51	50	231	231	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	618				31								
51	50	463/2	463/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	619												
52	51	232	232	0.0	0	0	Spanner	2/2	1	1	0															
52	51	232	232	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	620		articAccentBelow		32								
52	51	465/2	465/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	621				32								
52	51	233	233	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	622				32								
52	51	467/2	467/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	623												
52	51	234	234	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	624		articAccentBelow		33								
52	51	469/2	469/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	625				33								
52	51	235	235	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	626				33								
52	51	471/2	471/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	627												
52	51	232	232	0.5	0	0	Chord	2/2	2	1	1/8	1/8	1	628				34								
52	51	465/2	465/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	629				34								
52	51	233	233	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	630				34								
52	51	467/2	467/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	631												
52	51	234	234	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	632				35								
52	51	469/2	469/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	633				35								
52	51	235	235	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	634				35								
52	51	471/2	471/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	635												
53	52	236	236	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	636		articStaccatissimoBelow										
53	52	237	237	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	637		articAccentAbove										
53	52	475/2	475/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	638												
53	52	238	238	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	639												
53	52	477/2	477/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	640												
53	52	239	239	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	641												
53	52	479/2	479/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	642												
53	52	236	236	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	643		articStaccatissimoBelow										
53	52	237	237	0.0	1/4	1/4	Spanner	2/2	2	1	0														10	10
53	52	237	237	2.0	1/4	1/4	Chord	2/2	2	1	1/2	1/2	1	644		articAccentBelow									10	10
53	52	239	239	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	645		articAccentBelow									10	10
54	53	240	240	0.0	0	0	Spanner	2/2	1	1	0												34			
54	53	240	240	0.0	0	0	Spanner	2/2	1	1	0												34	5		
54	53	240	240	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	646									34	5		
54	53	481/2	481/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	647									34	5		
54	53	241	241	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	648									34	5		
54	53	483/2	483/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	649									34	5		
54	53	242	242	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	650									34	5		
54	53	485/2	485/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	651									34	5		
54	53	243	243	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	652									34	5		
54	53	487/2	487/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	653									34	5		
54	53	240	240	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	654											10	10
54	53	241	241	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	655		articAccentBelow									10	10
54	53	242	242	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	656		articAccentBelow									10	10
54	53	243	243	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	657		articAccentBelow									10	10
55	54	244	244	0.0	0	0	Dynamic	2/2	1	1	0				sf									5		
55	54	244	244	0.0	0	0	Spanner	2/2	1	1	0													5		
55	54	244	244	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	658		articStaccatissimoAbove								5		
55	54	245	245	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	659										5		
55	54	491/2	491/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	660										5		
55	54	246	246	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	661										5		
55	54	493/2	493/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	662										5		
55	54	247	247	0.0	3/4	3/4	Spanner	2/2	1	1	0												35	5		
55	54	247	247	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	663									35	5		
55	54	495/2	495/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	664									35	5		
55	54	244	244	0.0	0	0	Spanner	2/2	2	1	0															
55	54	244	244	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	665		articStaccatissimoBelow										
55	54	245	245	0.0	1/4	1/4	Spanner	2/2	2	1	0														11	11
55	54	246	246	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	666											11	11
56	55	248	248	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	667									35	5		
56	55	497/2	497/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	668									35	5		
56	55	249	249	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	669									35	5		
56	55	499/2	499/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	670									35	5		
56	55	250	250	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	671									35	5		
56	55	501/2	501/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	672									35	5		
56	55	251	251	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	673									35	5		
56	55	503/2	503/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	674									35	5		
56	55	248	248	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	675											11	11
56	55	249	249	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	676		articAccentBelow									11	11
56	55	250	250	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	677		articAccentBelow									11	11
56	55	251	251	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	678		articAccentBelow									11	11
57	56	252	252	0.0	0	0	Dynamic	2/2	1	1	0				fff									5		
57	56	252	252	0.0	0	0	StaffText	2/2	1	1	0						Meno allegro							5		
57	56	252	252	0.0	0	0	Spanner	2/2	1	1	0													5		
57	56	252	252	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	679										5		
57	56	505/2	505/2	0.0	1/8	1/8	Spanner	2/2	1	1	0															
57	56	1015/4	1015/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	680												
57	56	254	254	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	681		articAccentBelow		36								
57	56	255	255	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	682		articStaccatissimoBelow										
57	56	1023/4	1023/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	683												
57	56	252	252	0.0	0	0	StaffText	2/2	2	1	0						"<font size=""12""/>sempre pedale"								11	11
57	56	252	252	0.3333333333333333	0	0	Chord	2/2	2	1	1/12	1/8	2/3	684											11	11
57	56	757/3	757/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12	1/8	2/3	685											11	11
57	56	758/3	758/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12	1/8	2/3	686											11	11
57	56	253	253	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12	1/8	2/3	687											11	11
57	56	760/3	760/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12	1/8	2/3	688											11	11
57	56	761/3	761/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12	1/8	2/3	689											11	11
57	56	254	254	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12	1/8	2/3	690											11	11
57	56	763/3	763/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12	1/8	2/3	691											11	11
57	56	764/3	764/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12	1/8	2/3	692											11	11
57	56	255	255	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12	1/8	2/3	693											11	11
57	56	766/3	766/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12	1/8	2/3	694											11	11
57	56	767/3	767/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12	1/8	2/3	695											11	11
58	57	256	256	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	696		articStaccatissimoBelow										
58	57	513/2	513/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	697		articStaccatissimoBelow										
58	57	1031/4	1031/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	698												
58	57	258	258	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	699		articAccentAbove		37								
58	57	259	259	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	700		articStaccatissimoBelow										
58	57	1039/4	1039/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	701												
58	57	256	256	0.3333333333333333	0	0	Chord	2/2	2	1	1/12	1/8	2/3	702											11	11
58	57	769/3	769/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12	1/8	2/3	703											11	11
58	57	770/3	770/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12	1/8	2/3	704											11	11
58	57	257	257	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12	1/8	2/3	705											11	11
58	57	772/3	772/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12	1/8	2/3	706											11	11
58	57	773/3	773/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12	1/8	2/3	707											11	11
58	57	258	258	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12	1/8	2/3	708											11	11
58	57	775/3	775/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12	1/8	2/3	709											11	11
58	57	776/3	776/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12	1/8	2/3	710											11	11
58	57	259	259	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12	1/8	2/3	711											11	11
58	57	778/3	778/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12	1/8	2/3	712											11	11
58	57	779/3	779/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12	1/8	2/3	713											11	11
59	58	260	260	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	714		articStaccatissimoBelow										
59	58	521/2	521/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	715		articStaccatissimoBelow										
59	58	1047/4	1047/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	716												
59	58	262	262	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	717		articAccentAbove		38								
59	58	263	263	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	718		articStaccatissimoBelow										
59	58	1055/4	1055/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	719												
59	58	260	260	0.3333333333333333	0	0	Chord	2/2	2	1	1/12	1/8	2/3	720											11	11
59	58	781/3	781/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12	1/8	2/3	721											11	11
59	58	782/3	782/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12	1/8	2/3	722											11	11
59	58	261	261	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12	1/8	2/3	723											11	11
59	58	784/3	784/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12	1/8	2/3	724											11	11
59	58	785/3	785/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12	1/8	2/3	725											11	11
59	58	262	262	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12	1/8	2/3	726											11	11
59	58	787/3	787/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12	1/8	2/3	727											11	11
59	58	788/3	788/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12	1/8	2/3	728											11	11
59	58	263	263	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12	1/8	2/3	729											11	11
59	58	790/3	790/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12	1/8	2/3	730											11	11
59	58	791/3	791/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12	1/8	2/3	731											11	11
60	59	264	264	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	732		articAccentBelow		39								
60	59	529/2	529/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	733				39								
60	59	265	265	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	734		articStaccatissimoBelow										
60	59	1063/4	1063/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	735												
60	59	266	266	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	736		articAccentBelow		40								
60	59	533/2	533/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	737				40								
60	59	267	267	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	738		articStaccatissimoBelow										
60	59	1071/4	1071/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	739												
60	59	264	264	0.3333333333333333	0	0	Chord	2/2	2	1	1/12	1/8	2/3	740											11	11
60	59	793/3	793/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12	1/8	2/3	741											11	11
60	59	794/3	794/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12	1/8	2/3	742											11	11
60	59	265	265	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12	1/8	2/3	743											11	11
60	59	796/3	796/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12	1/8	2/3	744											11	11
60	59	797/3	797/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12	1/8	2/3	745											11	11
60	59	266	266	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12	1/8	2/3	746											11	11
60	59	799/3	799/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12	1/8	2/3	747											11	11
60	59	800/3	800/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12	1/8	2/3	748											11	11
60	59	267	267	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12	1/8	2/3	749											11	11
60	59	802/3	802/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12	1/8	2/3	750											11	11
60	59	803/3	803/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12	1/8	2/3	751											11	11
61	60	268	268	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	752		articAccentAbove		41								
61	60	537/2	537/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	753				41								
61	60	269	269	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	754		articStaccatissimoAbove										
61	60	1079/4	1079/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	755												
61	60	270	270	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	756		articAccentAbove		42								
61	60	541/2	541/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	757												
61	60	271	271	0.0	3/4	3/4	Spanner	2/2	1	1	0													6		
61	60	271	271	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	758		articStaccatissimoAbove								6		
61	60	543/2	543/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	759		articStaccatissimoAbove								6		
61	60	268	268	0.3333333333333333	0	0	Chord	2/2	2	1	1/12	1/8	2/3	760											11	11
61	60	805/3	805/3	0.3333333333333333	1/12	1/12	Chord	2/2	2	1	1/12	1/8	2/3	761											11	11
61	60	806/3	806/3	0.3333333333333333	1/6	1/6	Chord	2/2	2	1	1/12	1/8	2/3	762											11	11
61	60	269	269	0.3333333333333333	1/4	1/4	Chord	2/2	2	1	1/12	1/8	2/3	763											11	11
61	60	808/3	808/3	0.3333333333333333	1/3	1/3	Chord	2/2	2	1	1/12	1/8	2/3	764											11	11
61	60	809/3	809/3	0.3333333333333333	5/12	5/12	Chord	2/2	2	1	1/12	1/8	2/3	765											11	11
61	60	270	270	0.3333333333333333	1/2	1/2	Chord	2/2	2	1	1/12	1/8	2/3	766											11	11
61	60	811/3	811/3	0.3333333333333333	7/12	7/12	Chord	2/2	2	1	1/12	1/8	2/3	767											11	11
61	60	812/3	812/3	0.3333333333333333	2/3	2/3	Chord	2/2	2	1	1/12	1/8	2/3	768											11	11
61	60	271	271	0.3333333333333333	3/4	3/4	Chord	2/2	2	1	1/12	1/8	2/3	769											11	11
61	60	814/3	814/3	0.3333333333333333	5/6	5/6	Chord	2/2	2	1	1/12	1/8	2/3	770											11	11
61	60	815/3	815/3	0.3333333333333333	11/12	11/12	Chord	2/2	2	1	1/12	1/8	2/3	771											11	11
62	61	272	272	0.0	0	0	StaffText	2/2	1	1	0						"<font size=""12""/>tremolando"							6		
62	61	272	272	0.0	0	0	StaffText	2/2	1	1	0						"<font size=""12""/>stringendo"							6		
62	61	272	272	0.25	0	0	Chord	2/2	1	1	1/16	1/16	1	772										6		
62	61	1089/4	1089/4	0.25	1/16	1/16	Chord	2/2	1	1	1/16	1/16	1	773										6		
62	61	545/2	545/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	774										6		
62	61	1091/4	1091/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	775										6		
62	61	273	273	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	776										6		
62	61	1093/4	1093/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	777										6		
62	61	547/2	547/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	778										6		
62	61	1095/4	1095/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	779										6		
62	61	274	274	0.25	1/2	1/2	Chord	2/2	1	1	1/16	1/16	1	780										6		
62	61	1097/4	1097/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16	1/16	1	781										6		
62	61	549/2	549/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	782										6		
62	61	1099/4	1099/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	783										6		
62	61	275	275	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	784										6		
62	61	1101/4	1101/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	785										6		
62	61	551/2	551/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	786										6		
62	61	1103/4	1103/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	787										6		
62	61	272	272	0.0	0	0	Spanner	2/2	2	1	0															
62	61	545/2	545/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	788												
62	61	273	273	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	789												
62	61	547/2	547/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	790												
62	61	274	274	0.0	1/2	1/2	StaffText	2/2	2	1	0						cresc.									
62	61	274	274	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	791												
62	61	549/2	549/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	792												
62	61	275	275	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	793												
62	61	551/2	551/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	794												
63	62	276	276	0.25	0	0	Chord	2/2	1	1	1/16	1/16	1	795										6		
63	62	1105/4	1105/4	0.25	1/16	1/16	Chord	2/2	1	1	1/16	1/16	1	796										6		
63	62	553/2	553/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	797										6		
63	62	1107/4	1107/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	798										6		
63	62	277	277	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	799										6		
63	62	1109/4	1109/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	800										6		
63	62	555/2	555/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	801										6		
63	62	1111/4	1111/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	802										6		
63	62	278	278	0.25	1/2	1/2	Chord	2/2	1	1	1/16	1/16	1	803										6		
63	62	1113/4	1113/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16	1/16	1	804										6		
63	62	557/2	557/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	805										6		
63	62	1115/4	1115/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	806										6		
63	62	279	279	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	807										6		
63	62	1117/4	1117/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	808										6		
63	62	559/2	559/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	809										6		
63	62	1119/4	1119/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	810										6		
63	62	276	276	0.5	0	0	Chord	2/2	2	1	1/8	1/8	1	811												
63	62	553/2	553/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	812												
63	62	277	277	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	813												
63	62	555/2	555/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	814												
63	62	278	278	0.5	1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	815												
