mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_line	HairPin:2_poco a poco cresc.	HairPin:2_poco cresc.	crescendo_hairpin	diminuendo_line	HairPin:3_sempre dim.	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
271	269	17717/24	17717/24	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	2675														
271	269	5907/8	5907/8	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	2676														
271	269	1477/2	1477/2	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	2677														
271	269	5909/8	5909/8	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	2678														
271	269	2955/4	2955/4	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	2679														
271	269	5911/8	5911/8	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	2680														
271	269	17737/24	17737/24	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	2681														
271	269	17741/24	17741/24	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	2682														
271	269	5915/8	5915/8	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	2683														
271	269	1479/2	1479/2	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	2684														
271	269	5917/8	5917/8	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	2685														
271	269	2959/4	2959/4	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	2686														
271	269	5903/8	5903/8	0.75	0	0	Chord	2/4	1	2	3/16		1/8	3/2	2687														
271	269	5909/8	5909/8	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	2688														
271	269	5911/8	5911/8	0.75	1/4	1/4	Chord	2/4	1	2	3/16		1/8	3/2	2689														
271	269	5917/8	5917/8	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	2690														
271	269	5911/8	5911/8	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	2691														
272	270	5919/8	5919/8	0.0	0	0	Spanner	2/4	1	1	0																17		
272	270	5919/8	5919/8	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	2692												17		
272	270	17761/24	17761/24	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	2693												17		
272	270	17765/24	17765/24	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	2694												17		
272	270	5923/8	5923/8	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	2695												17		
272	270	1481/2	1481/2	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	2696												17		
272	270	5925/8	5925/8	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	2697												17		
272	270	2963/4	2963/4	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	2698												17		
272	270	5927/8	5927/8	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	2699												17		
272	270	17785/24	17785/24	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	2700												17		
272	270	17789/24	17789/24	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	2701												17		
272	270	5931/8	5931/8	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	2702												17		
272	270	1483/2	1483/2	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	2703												17		
272	270	5933/8	5933/8	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	2704												17		
272	270	2967/4	2967/4	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	2705												17		
272	270	5919/8	5919/8	0.75	0	0	Chord	2/4	1	2	3/16		1/8	3/2	2706												17		
272	270	5925/8	5925/8	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	2707												17		
272	270	5927/8	5927/8	0.75	1/4	1/4	Chord	2/4	1	2	3/16		1/8	3/2	2708												17		
272	270	5933/8	5933/8	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	2709												17		
272	270	5927/8	5927/8	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	2710														
273	271	5935/8	5935/8	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	2711												17		
273	271	17809/24	17809/24	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	2712												17		
273	271	17813/24	17813/24	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	2713												17		
273	271	5939/8	5939/8	0.0	1/8	1/8	Spanner	2/4	1	1	0										4						17		
273	271	5939/8	5939/8	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	2714						4						17		
273	271	1485/2	1485/2	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	2715						4						17		
273	271	5941/8	5941/8	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	2716						4						17		
273	271	2971/4	2971/4	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	2717						4						17		
273	271	5943/8	5943/8	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	2718						4						17		
273	271	17833/24	17833/24	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	2719						4						17		
273	271	17837/24	17837/24	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	2720						4						17		
273	271	5947/8	5947/8	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	2721						4						17		
273	271	1487/2	1487/2	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	2722						4						17		
273	271	5949/8	5949/8	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	2723						4						17		
273	271	2975/4	2975/4	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	2724						4						17		
273	271	5935/8	5935/8	0.75	0	0	Chord	2/4	1	2	3/16		1/8	3/2	2725						4						17		
273	271	5941/8	5941/8	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	2726						4						17		
273	271	5943/8	5943/8	0.75	1/4	1/4	Chord	2/4	1	2	3/16		1/8	3/2	2727						4						17		
273	271	5949/8	5949/8	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	2728						4						17		
273	271	5939/8	5939/8	0.125	1/8	1/8	Chord	2/4	2	1	1/32		1/32	1	2729				122										
273	271	1485/2	1485/2	0.125	5/32	5/32	Chord	2/4	2	1	1/32		1/32	1	2730				122										
273	271	5941/8	5941/8	0.125	3/16	3/16	Chord	2/4	2	1	1/32		1/32	1	2731				122										
273	271	2971/4	2971/4	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	2732				122										
273	271	5943/8	5943/8	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	2733		articStaccatissimoAbove												
274	272	5951/8	5951/8	0.0	0	0	Spanner	2/4	1	1	0																17		
274	272	5951/8	5951/8	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	2734												17		
274	272	17857/24	17857/24	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	2735												17		
274	272	17861/24	17861/24	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	2736												17		
274	272	5955/8	5955/8	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	2737												17		
274	272	1489/2	1489/2	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	2738												17		
274	272	5957/8	5957/8	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	2739												17		
274	272	2979/4	2979/4	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	2740												17		
274	272	5959/8	5959/8	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	2741												17		
274	272	17881/24	17881/24	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	2742												17		
274	272	17885/24	17885/24	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	2743												17		
274	272	5963/8	5963/8	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	2744												17		
274	272	1491/2	1491/2	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	2745												17		
274	272	5965/8	5965/8	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	2746												17		
274	272	2983/4	2983/4	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	2747												17		
274	272	5951/8	5951/8	0.75	0	0	Chord	2/4	1	2	3/16		1/8	3/2	2748												17		
274	272	5957/8	5957/8	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	2749												17		
274	272	5959/8	5959/8	0.75	1/4	1/4	Chord	2/4	1	2	3/16		1/8	3/2	2750												17		
274	272	5965/8	5965/8	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	2751												17		
274	272	5955/8	5955/8	0.125	1/8	1/8	Chord	2/4	2	1	1/32		1/32	1	2752				123										
274	272	1489/2	1489/2	0.125	5/32	5/32	Chord	2/4	2	1	1/32		1/32	1	2753				123										
274	272	5957/8	5957/8	0.125	3/16	3/16	Chord	2/4	2	1	1/32		1/32	1	2754				123										
274	272	2979/4	2979/4	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	2755				123										
274	272	5959/8	5959/8	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	2756		articStaccatissimoAbove												
275	273	5967/8	5967/8	0.0	0	0	Dynamic	2/4	1	1	0					other-dynamics											17		
275	273	5971/8	5971/8	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	2757		articMarcatoStaccatoAbove										17		
275	273	5973/8	5973/8	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	2758		articStaccatoAbove										17		
275	273	5975/8	5975/8	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	2759		articStaccatoAbove										17		
275	273	5977/8	5977/8	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	2760		articStaccatoAbove										17		
275	273	5979/8	5979/8	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	2761		articStaccatoAbove										17		
275	273	5981/8	5981/8	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	2762		articStaccatoAbove										17		
275	273	5967/8	5967/8	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	2763		articMarcatoAbove												
275	273	5969/8	5969/8	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	2764														
275	273	5971/8	5971/8	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	2765														
275	273	5973/8	5973/8	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	2766														
275	273	5975/8	5975/8	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	2767														
275	273	5979/8	5979/8	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	2768														
276	274	5983/8	5983/8	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	2769												17		
276	274	5985/8	5985/8	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	2770												17		
276	274	5987/8	5987/8	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	2771												17		
276	274	5989/8	5989/8	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	2772												17		
276	274	5991/8	5991/8	0.0	1/4	1/4	Spanner	2/4	1	1	0													11			17		
276	274	5991/8	5991/8	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	2773									11			17		
276	274	5993/8	5993/8	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	2774									11			17		
276	274	5995/8	5995/8	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	2775									11			17		
276	274	5997/8	5997/8	0.0	7/16	7/16	Spanner	2/4	1	1	0																17		
276	274	5997/8	5997/8	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	2776		articAccentAbove		124								17		
276	274	5983/8	5983/8	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	2777		articMarcatoStaccatoAbove												
276	274	5985/8	5985/8	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	2778		articStaccatoAbove												
276	274	5987/8	5987/8	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	2779		articStaccatoAbove												
276	274	5989/8	5989/8	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	2780		articStaccatoAbove												
276	274	5991/8	5991/8	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	2781		articStaccatoAbove												
276	274	5993/8	5993/8	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	2782		articStaccatoAbove												
276	274	5995/8	5995/8	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	2783		articStaccatoAbove												
276	274	5997/8	5997/8	0.0	7/16	7/16	Spanner	2/4	2	1	0																	91	91
276	274	5997/8	5997/8	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	2784		articAccentAbove		125									91	91
277	275	5999/8	5999/8	0.0	0	0	StaffText	2/4	1	1	0							<i>accelerando</i>									17		
277	275	5999/8	5999/8	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	2785		articStaccatoAbove										17		
277	275	6001/8	6001/8	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	2786		articAccentAbove		126								17		
277	275	6003/8	6003/8	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	2787		articStaccatoAbove										17		
277	275	6005/8	6005/8	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	2788		articAccentAbove		127								17		
277	275	6007/8	6007/8	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	2789		articStaccatoAbove										17		
277	275	6009/8	6009/8	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	2790		articAccentAbove		128								17		
277	275	6011/8	6011/8	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	2791		articStaccatoAbove										17		
277	275	6013/8	6013/8	0.0	7/16	7/16	Spanner	2/4	1	1	0																		
277	275	6013/8	6013/8	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	2792		articAccentAbove		129										
277	275	5999/8	5999/8	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	2793		articStaccatoAbove											91	91
277	275	6001/8	6001/8	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	2794		articAccentAbove		130									91	91
277	275	6003/8	6003/8	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	2795		articStaccatoAbove											91	91
277	275	6005/8	6005/8	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	2796		articAccentAbove		131									91	91
277	275	6007/8	6007/8	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	2797		articStaccatoAbove											91	91
277	275	6009/8	6009/8	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	2798		articAccentAbove		132									91	91
277	275	6011/8	6011/8	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	2799		articStaccatoAbove											91	91
277	275	6013/8	6013/8	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	2800		articAccentAbove		133									91	91
278	276	6015/8	6015/8	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	2801		articStaccatoAbove												
278	276	6017/8	6017/8	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	2802				134										
278	276	6019/8	6019/8	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	2803		articStaccatoAbove												
278	276	6021/8	6021/8	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	2804				135										
278	276	6023/8	6023/8	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	2805		articStaccatoAbove												
278	276	6025/8	6025/8	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	2806		articStaccatoAbove		136										
278	276	6027/8	6027/8	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	2807		articStaccatoAbove		136										
278	276	6029/8	6029/8	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	2808		articStaccatoAbove		136										
278	276	6015/8	6015/8	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	2809		articStaccatoAbove											91	91
278	276	6017/8	6017/8	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	2810				137									91	91
278	276	6019/8	6019/8	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	2811		articStaccatoBelow											91	91
278	276	6021/8	6021/8	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	2812				138									91	91
278	276	6023/8	6023/8	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	2813		articStaccatoBelow											91	91
278	276	6025/8	6025/8	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	2814		articStaccatoBelow		139									91	91
278	276	6027/8	6027/8	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	2815		articStaccatoBelow		139									91	91
278	276	6029/8	6029/8	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	2816		articStaccatoBelow		139									91	91
279	277	6031/8	6031/8	0.0	0	0	Spanner	2/4	1	1	0								136					12					
279	277	6031/8	6031/8	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	2817		articStaccatoAbove		136					12					
279	277	6033/8	6033/8	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	2818		articStaccatoAbove		136					12					
279	277	6035/8	6035/8	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	2819		articStaccatoAbove		136					12					
279	277	6037/8	6037/8	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	2820		articStaccatoAbove		136					12					
279	277	6039/8	6039/8	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	2821		articStaccatoAbove		136					12					
279	277	6041/8	6041/8	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	2822		articStaccatoAbove		136					12					
279	277	6043/8	6043/8	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	2823		articStaccatoAbove		136					12					
279	277	6045/8	6045/8	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	2824		articStaccatoAbove							12					
279	277	6031/8	6031/8	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	2825		articStaccatoAbove		139									91	91
279	277	6033/8	6033/8	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	2826		articStaccatoAbove		139									91	91
279	277	6035/8	6035/8	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	2827		articStaccatoAbove		139									91	91
279	277	6037/8	6037/8	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	2828		articStaccatoAbove		139									91	91
279	277	6039/8	6039/8	0.0	1/4	1/4	Spanner	2/4	2	1	0								139										
279	277	6039/8	6039/8	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	2829		articStaccatoAbove		139										
279	277	6041/8	6041/8	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	2830		articStaccatoAbove		139										
279	277	6043/8	6043/8	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	2831		articStaccatoAbove		139										
279	277	6045/8	6045/8	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	2832		articStaccatoAbove												
280	278	6047/8	6047/8	0.0	0	0	Dynamic	2/4	1	1	0					other-dynamics													
280	278	6047/8	6047/8	0.0	0	0	Spanner	2/4	1	1	0																		
280	278	6047/8	6047/8	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	2833		articStaccatoAbove		140										
280	278	6049/8	6049/8	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	2834		articStaccatoAbove		140										
280	278	6051/8	6051/8	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	2835		articStaccatoAbove		140										
280	278	6053/8	6053/8	0.0	3/16	3/16	Spanner	2/4	1	1	0								140	4									
280	278	6053/8	6053/8	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	2836		articStaccatoAbove		140	4									
280	278	6055/8	6055/8	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	2837		articStaccatoAbove		140	4									
280	278	6057/8	6057/8	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	2838		articStaccatoAbove		140	4									
280	278	6059/8	6059/8	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	2839		articStaccatoAbove		140	4									
280	278	6061/8	6061/8	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	2840		articStaccatoAbove		140	4									
280	278	6047/8	6047/8	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	2841		articStaccatoAbove		141										
280	278	6049/8	6049/8	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	2842		articStaccatoAbove		141										
280	278	6051/8	6051/8	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	2843		articStaccatoAbove		141										
280	278	6053/8	6053/8	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	2844		articStaccatoAbove		141										
280	278	6055/8	6055/8	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	2845		articStaccatoAbove		141										
280	278	6057/8	6057/8	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	2846		articStaccatoAbove		141										
280	278	6059/8	6059/8	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	2847		articStaccatoAbove		141										
280	278	6061/8	6061/8	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	2848		articStaccatoAbove		141										
281	279	6063/8	6063/8	0.0	0	0	StaffText	2/4	1	1	0							smorzando	140										
281	279	6063/8	6063/8	0.0	0	0	Spanner	2/4	1	1	0								140										
281	279	6063/8	6063/8	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	2849		articStaccatoAbove		140										
281	279	6065/8	6065/8	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	2850		articStaccatoAbove		140										
281	279	6067/8	6067/8	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	2851		articStaccatoAbove		140										
281	279	6069/8	6069/8	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	2852		articStaccatoAbove												
281	279	6071/8	6071/8	0.0	1/4	1/4	Dynamic	2/4	1	1	0					p													
281	279	6071/8	6071/8	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/8	1/3	2853														
281	279	6075/8	6075/8	0.0	3/8	3/8	StaffText	2/4	1	1	0							 a tempo											
281	279	6075/8	6075/8	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/8	1/3	2854		articStaccatoAbove		142										
281	279	18229/24	18229/24	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/8	1/3	2855		articStaccatoAbove		142										
281	279	18233/24	18233/24	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/8	1/3	2856		articStaccatoAbove												
281	279	6063/8	6063/8	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	2857		articStaccatoAbove		141										
281	279	6065/8	6065/8	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	2858		articStaccatoAbove		141										
281	279	6067/8	6067/8	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	2859		articStaccatoAbove		141										
281	279	6069/8	6069/8	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	2860		articStaccatoAbove												
282	280	6079/8	6079/8	1.875	0	0	Chord	2/4	1	1	15/32		1/4	15/8	2861		articMarcatoAbove												
282	280	3047/4	3047/4	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	2862														
282	280	6079/8	6079/8	0.0	0	0	Dynamic	2/4	2	1	0					pp													
282	280	6079/8	6079/8	0.0	0	0	Spanner	2/4	2	1	0																	92	92
282	280	6081/8	6081/8	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	2863				143									92	92
282	280	6083/8	6083/8	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	2864				143									92	92
282	280	6085/8	6085/8	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	2865				143									92	92
282	280	6087/8	6087/8	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	2866				143									92	92
282	280	6089/8	6089/8	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	2867				143									92	92
282	280	6091/8	6091/8	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	2868				143									92	92
282	280	6093/8	6093/8	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	2869													92	92
283	281	6095/8	6095/8	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	2870														
283	281	6095/8	6095/8	0.0	0	0	Spanner	2/4	2	1	0																		
283	281	6095/8	6095/8	0.0	0	0	Spanner	2/4	2	1	0																	93	93
283	281	6097/8	6097/8	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	2871													93	93
283	281	6099/8	6099/8	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	2872													93	93
283	281	6101/8	6101/8	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	2873													93	93
283	281	6103/8	6103/8	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	2874													93	93
284	282	6111/8	6111/8	0.0	0	0	StaffText	2/4	1	1	0							<i>ritenuto</i>											
284	282	6111/8	6111/8	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	2875		articStaccatoAbove		144										
284	282	18341/24	18341/24	0.3333333333333333	1/12	1/12	Chord	2/4	1	1	1/12		1/8	2/3	2876		articStaccatoAbove		144										
284	282	18349/24	18349/24	0.3333333333333333	1/6	1/6	Chord	2/4	1	1	1/12		1/8	2/3	2877		articStaccatoAbove												
284	282	6119/8	6119/8	0.6666666666666666	1/4	1/4	Chord	2/4	1	1	1/6		1/4	2/3	2878		articAccentAbove		145										
284	282	18373/24	18373/24	0.3333333333333333	5/12	5/12	Chord	2/4	1	1	1/12		1/8	2/3	2879														
284	282	6111/8	6111/8	0.0	0	0	StaffText	2/4	2	1	0							<i>dolcissimo</i>											
284	282	6111/8	6111/8	0.0	0	0	Spanner	2/4	2	1	0																		
284	282	18373/24	18373/24	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12		1/8	2/3	2880														
285	283	6127/8	6127/8	0.3333333333333333	0	0	Chord	2/4	1	1	1/12		1/8	2/3	2881		articStaccatoAbove		146										
285	283	18389/24	18389/24	0.3333333333333333	1/12	1/12	Chord	2/4	1	1	1/12		1/8	2/3	2882		articStaccatoAbove		146										
285	283	18397/24	18397/24	0.3333333333333333	1/6	1/6	Chord	2/4	1	1	1/12		1/8	2/3	2883		articStaccatoAbove												
285	283	6135/8	6135/8	0.6666666666666666	1/4	1/4	Chord	2/4	1	1	1/6		1/4	2/3	2884				147										
285	283	18421/24	18421/24	0.3333333333333333	5/12	5/12	Chord	2/4	1	1	1/12		1/8	2/3	2885														
285	283	18421/24	18421/24	0.3333333333333333	5/12	5/12	Chord	2/4	2	1	1/12		1/8	2/3	2886														
