mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
23	23	88	88	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	261												
23	23	91	91	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	262												
23	23	367/4	367/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	263												
24	24	92	92	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	264		articStaccatoBelow										
24	24	93	93	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	265		articStaccatoBelow										
24	24	94	94	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	266		articStaccatoBelow										
24	24	92	92	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""10.9134""/><font face=""Plantin MT Std""/>dim."									
24	24	92	92	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	267		articStaccatoBelow										
24	24	93	93	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	268		articStaccatoAbove										
24	24	94	94	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	269		articStaccatoAbove										
24	24	95	95	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	270												
24	24	383/4	383/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	271												
24	24	93	93	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	272												
24	24	94	94	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	273												
25	25	97	97	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	274												
25	25	391/4	391/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	275												
25	25	98	98	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	276												
25	25	99	99	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	277									10			
25	25	99	99	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	278												
25	25	96	96	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	279												
25	25	97	97	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	280												
25	25	391/4	391/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	281												
25	25	98	98	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	282												
25	25	99	99	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	283												
26	26	100	100	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	284									10			
26	26	101	101	0.16666666666666666	1/4	1/4	Chord	4/4	1	1	1/24		1/16	2/3	285									10			
26	26	607/6	607/6	0.16666666666666666	7/24	7/24	Chord	4/4	1	1	1/24		1/16	2/3	286									10			
26	26	304/3	304/3	0.16666666666666666	1/3	1/3	Chord	4/4	1	1	1/24		1/16	2/3	287									10			
26	26	203/2	203/2	0.16666666666666666	3/8	3/8	Chord	4/4	1	1	1/24		1/16	2/3	288									10			
26	26	305/3	305/3	0.16666666666666666	5/12	5/12	Chord	4/4	1	1	1/24		1/16	2/3	289									10			
26	26	611/6	611/6	0.16666666666666666	11/24	11/24	Chord	4/4	1	1	1/24		1/16	2/3	290									10			
26	26	102	102	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	291												
26	26	100	100	2.0	0	0	Chord	4/4	1	2	1/2		1/2	1	292												
26	26	102	102	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	293												
26	26	100	100	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	294												
26	26	102	102	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	295												
26	26	101	101	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	296												
26	26	102	102	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	297												
27	27	419/4	419/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	298												
27	27	105	105	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	299												
27	27	423/4	423/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	300												
27	27	106	106	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	301												
27	27	427/4	427/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	302												
27	27	107	107	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	303												
27	27	431/4	431/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	304												
27	27	104	104	0.0	0	0	Dynamic	4/4	2	1	0					f											
27	27	104	104	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	305												
27	27	105	105	0.0	1/4	1/4	StaffText	4/4	2	1	0							"<font size=""10.9134""/><font face=""Plantin MT Std""/>energico"									
27	27	105	105	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	306												
27	27	423/4	423/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	307												
27	27	106	106	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	308												
27	27	107	107	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	309		articStaccatissimoBelow										
27	27	431/4	431/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	310												
28	28	108	108	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	311												
28	28	435/4	435/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	312												
28	28	109	109	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	313												
28	28	439/4	439/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	314												
28	28	110	110	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	315												
28	28	443/4	443/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	316												
28	28	111	111	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	317		articStaccatissimoBelow										
28	28	108	108	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	318												
28	28	109	109	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	319		articStaccatissimoBelow										
28	28	439/4	439/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	320												
28	28	110	110	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	321												
28	28	443/4	443/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	322												
28	28	111	111	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	323												
29	29	112	112	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	324		articAccentAbove							11			
29	29	113	113	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	325												
29	29	455/4	455/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	326												
29	29	114	114	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	327		articAccentAbove							12			
29	29	115	115	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	328												
29	29	463/4	463/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	329												
29	29	451/4	451/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	330												
29	29	113	113	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	331												
29	29	455/4	455/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	332												
29	29	114	114	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	333												
29	29	459/4	459/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	334												
29	29	115	115	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	335												
29	29	463/4	463/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	336												
30	30	116	116	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	337		articStaccatoBelow										
30	30	117	117	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	338		articStaccatoBelow										
30	30	118	118	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	339												
30	30	116	116	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	340		articStaccatoAbove										
30	30	117	117	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	341		articStaccatoAbove										
30	30	118	118	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	342												
31	31	483/4	483/4	0.0	3/16	3/16	Spanner	4/4	1	1	0																0
31	31	483/4	483/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	343												0
31	31	121	121	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	344												0
31	31	487/4	487/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	345												0
31	31	122	122	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	346												0
31	31	245/2	245/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																
31	31	491/4	491/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	347												
31	31	123	123	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	348												
31	31	495/4	495/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	349												
31	31	120	120	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	350												
31	31	121	121	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	351		articStaccatissimoAbove										
31	31	487/4	487/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	352												
31	31	122	122	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	353												
31	31	123	123	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	354		articStaccatissimoAbove										
31	31	495/4	495/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16		1/16	1	355												
32	32	124	124	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	356												
32	32	499/4	499/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	357												
32	32	125	125	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	358												
32	32	503/4	503/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	359												
32	32	126	126	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	360												
32	32	507/4	507/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	361												
32	32	127	127	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	362												
32	32	124	124	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	363												
32	32	125	125	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	364		articStaccatissimoAbove										
32	32	503/4	503/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	365												
32	32	126	126	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	366												
32	32	507/4	507/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16		1/16	1	367												
32	32	127	127	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	368												
33	33	128	128	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	369												
33	33	129	129	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	370												
33	33	519/4	519/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	371												
33	33	130	130	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	372									13			
33	33	261/2	261/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	373									13			
33	33	131	131	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	374		articStaccatoBelow										
33	33	527/4	527/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	375												
33	33	515/4	515/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	376												
33	33	129	129	0.75	1/4	1/4	Chord	4/4	1	2	3/16		1/8	3/2	377												
33	33	519/4	519/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	378												
33	33	130	130	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	379												
33	33	515/4	515/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	380												
33	33	129	129	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	381												
33	33	519/4	519/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	382												
33	33	130	130	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	383												
34	34	132	132	0.0	0	0	StaffText	4/4	1	1	0							rit.									
34	34	132	132	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	384												
34	34	133	133	0.0	1/4	1/4	Spanner	4/4	1	1	0														2		
34	34	133	133	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	385										2		
34	34	134	134	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	386										2		
34	34	269/2	269/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																
34	34	269/2	269/2	0.0	5/8	5/8	Spanner	4/4	1	1	0															1	
34	34	269/2	269/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	387											1	
34	34	135	135	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	388											1	
34	34	531/4	531/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	389											1	
34	34	133	133	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	390											1	
34	34	535/4	535/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	391											1	
34	34	134	134	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	392											1	
34	34	132	132	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""10.9134""/><font face=""Plantin MT Std""/>accentuato il canto"									
34	34	531/4	531/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	393												
34	34	133	133	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	394												
34	34	535/4	535/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	395												
34	34	134	134	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	396												
34	34	269/2	269/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	397												
34	34	135	135	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	398												
34	34	271/2	271/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	399												
34	34	134	134	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	400												
35	35	136	136	0.0	0	0	Spanner	4/4	1	1	0																
35	35	136	136	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	401		articAccentAbove							14			
35	35	137	137	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	402												
35	35	551/4	551/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	403												
35	35	138	138	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	404												
35	35	279/2	279/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	405												
35	35	547/4	547/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16		1/16	1	406												
35	35	137	137	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	407												
35	35	551/4	551/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	408												
35	35	138	138	2.0	1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	409												
35	35	547/4	547/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16		1/16	1	410												
35	35	137	137	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	411												
35	35	551/4	551/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	412												
35	35	138	138	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	413												
36	36	143	143	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	414												
36	36	143	143	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16	1/16	1	415												
36	36	143	143	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	416												
36	36	140	140	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	417												
36	36	141	141	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	418		articStaccatoBelow										
36	36	567/4	567/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16		1/16	1	419		articStaccatoBelow										
36	36	142	142	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	420									15			
36	36	143	143	0.75	3/4	3/4	Chord	4/4	1	2	3/16		1/8	3/2	421												
36	36	575/4	575/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16		1/16	1	422												
36	36	143	143	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	423												
37	37	289/2	289/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	424												
37	37	291/2	291/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	425												
37	37	293/2	293/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	426												
37	37	295/2	295/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	427												
37	37	144	144	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""10.9134""/><font face=""Plantin MT Std""/>dolce"									
37	37	144	144	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	428												
37	37	145	145	0.75	1/4	1/4	Chord	4/4	2	1	3/16		1/8	3/2	429												
37	37	583/4	583/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	430												
37	37	146	146	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	431												
37	37	147	147	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	432												
38	38	148	148	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	433												
38	38	149	149	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	434												
38	38	599/4	599/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	435												
38	38	150	150	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	436												
38	38	297/2	297/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	437												
38	38	299/2	299/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	438												
38	38	301/2	301/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	439												
38	38	303/2	303/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	440												
38	38	148	148	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""10.9134""/><font face=""Plantin MT Std""/>espr."									
38	38	149	149	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	441												
38	38	150	150	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	442												
38	38	151	151	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	443												
39	39	152	152	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	444												
39	39	153	153	0.0	1/4	1/4	Spanner	4/4	1	1	0														3		
39	39	153	153	2.0	1/4	1/4	Chord	4/4	1	1	1/2		1/2	1	445										3		
39	39	155	155	0.0	3/4	3/4	Spanner	4/4	1	1	0																
39	39	155	155	0.0	3/4	3/4	Spanner	4/4	1	1	0															2	
39	39	155	155	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	446											2	
39	39	305/2	305/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	447											2	
39	39	307/2	307/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	448											2	
39	39	309/2	309/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	449											2	
39	39	311/2	311/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	450											2	
39	39	152	152	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	451												
39	39	153	153	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	452												
39	39	307/2	307/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	453												
39	39	154	154	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	454												
39	39	155	155	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	455												
39	39	311/2	311/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	456												
40	40	156	156	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	457									16		2	
40	40	157	157	0.0	1/4	1/4	Spanner	4/4	1	1	0													16			
40	40	157	157	0.75	1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	458									16			
40	40	631/4	631/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	459									16			
40	40	158	158	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	460									16			
40	40	159	159	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	461									16			
40	40	313/2	313/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	462												
40	40	315/2	315/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	463												
40	40	317/2	317/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	464												
40	40	319/2	319/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	465												
40	40	156	156	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	466												
40	40	158	158	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	467												
40	40	159	159	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	468												
41	41	160	160	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	469									16			
41	41	161	161	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	470									16			
41	41	162	162	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	471												
41	41	321/2	321/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	472												
41	41	323/2	323/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	473												
41	41	325/2	325/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	474												
41	41	327/2	327/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	475												
41	41	160	160	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	476												
41	41	162	162	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	477												
41	41	163	163	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	478												
41	41	327/2	327/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	479												
42	42	164	164	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	480												
42	42	165	165	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	481												
42	42	166	166	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	482												
42	42	167	167	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	483												
42	42	329/2	329/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	484												
42	42	331/2	331/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	485												
42	42	333/2	333/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	486												
42	42	335/2	335/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	487												
42	42	164	164	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	488												
42	42	165	165	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	489												
42	42	331/2	331/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	490												
42	42	166	166	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	491												
42	42	167	167	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	492												
43	43	168	168	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	493												
43	43	169	169	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	494												
43	43	170	170	1.5	1/2	1/2	Chord	4/4	1	1	3/8		1/4	3/2	495												
43	43	343/2	343/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	496												
43	43	337/2	337/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	497												
43	43	339/2	339/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	498												
43	43	341/2	341/2	1.5	5/8	5/8	Chord	4/4	1	2	3/8		1/4	3/2	499												
43	43	168	168	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	500												
43	43	169	169	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	501												
43	43	339/2	339/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	502												
43	43	170	170	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	503												
43	43	171	171	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	504												
44	44	172	172	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	505												
44	44	174	174	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	506		articTenutoAbove							17			
44	44	175	175	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	507		articStaccatoAbove										
44	44	703/4	703/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	508		articStaccatoAbove										
44	44	172	172	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	509												
44	44	172	172	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	510		articTenutoBelow										
44	44	173	173	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	511		articStaccatoBelow										
44	44	695/4	695/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	512		articStaccatoBelow										
44	44	174	174	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	513		articStaccatoBelow										
45	45	176	176	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	514		articStaccatoAbove										
45	45	178	178	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	515		articTenutoAbove							18			
45	45	179	179	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	516		articStaccatoAbove										
45	45	719/4	719/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	517		articStaccatoAbove										
45	45	176	176	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	518		articTenutoAbove										
45	45	177	177	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	519		articStaccatoAbove										
45	45	711/4	711/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	520		articStaccatoAbove										
45	45	178	178	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	521		articStaccatoAbove										
46	46	180	180	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	522		articStaccatoAbove										
46	46	181	181	0.0	1/4	1/4	StaffText	4/4	1	1	0							"<font size=""10.9134""/><font face=""Plantin MT Std""/>poco riten."									
46	46	182	182	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	523												
46	46	180	180	0.0	0	0	StaffText	4/4	2	1	0							"<font size=""10.9134""/><font face=""Plantin MT Std""/>dim."									
46	46	180	180	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	524		articTenutoAbove										
46	46	181	181	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	525		articStaccatoAbove										
46	46	727/4	727/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	526		articStaccatoAbove										
46	46	182	182	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	527		articTenutoAbove										
46	46	183	183	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	528		articStaccatoAbove										
