mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
55	55	300	6.0	0	0	6/4	2	1	V(4)	Db	i		V(4)		V			4				M	0	1	1, 0, 2		1	1
56	56	306	6.0	0	0	6/4	2	1	i2	Db	i		i2		i		2					mm7	0	1	-2, 0, -3, 1		0	-2
57	57	312	3.0	0	0	6/4	2	1	VI	Db	i		VI		VI							M	0	1	-4, 0, -3		-4	-4
57	57	315	3.0	3/4	3/4	6/4	2	1	VIM2	Db	i		VIM2		VI	M	2					MM7	0	1	1, -4, 0, -3		-4	1
58	58	318	20.0	0	0	6/4	2	1	viio7/V	Db	i		viio7/V		vii	o	7		V			o7	0	1	6, 3, 0, -3		6	6
59	59	338	5.0	7/2	7/2	18/4	2	1	viio65/V	Db	i		viio65/V		vii	o	65		V			o7	0	1	3, 0, -3, 6		6	3
60	60	343	5.0	1/4	1/4	6/4	2	1	Ger6	Db	i		Ger6	Ger	vii	o	65	b3	V			Ger	0	1	-4, 0, -3, 6		6	-4
61	61	348	3.0	0	0	6/4	2	1	V(9)	Db	i		V(9)		V			9				M	0	1	1, 5, 2	-4	1	1
61	61	351	7.0	3/4	3/4	6/4	2	1	V|HC}	Db	i		V		V					HC	}	M	0	1	1, 5, 2		1	1
62	62	358	4.0	1	1	6/4	2	1	bIII.I{	Db	bIII		I		I						{	M	0	0	0, 4, 1		0	0
63	63	362	1.0	1/2	1/2	6/4	2	1	IV64	Db	bIII		IV64		IV		64					M	0	0	0, -1, 3		-1	0
63	63	363	1.0	3/4	3/4	6/4	2	1	ii6	Db	bIII		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
63	63	364	2.0	1	1	6/4	2	1	V65	Db	bIII		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
64	64	366	5.0	0	0	6/4	2	1	I	Db	bIII		I		I							M	0	0	0, 4, 1		0	0
64	64	371	1.0	5/4	5/4	6/4	2	1	V7/ii	Db	bIII		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
65	65	372	2.0	0	0	6/4	2	1	I[vii%43/V	Db	bIII	I	vii%43/V		vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
65	65	374	1.0	1/2	1/2	6/4	2	1	V2/V	Db	bIII	I	V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
65	65	375	3.0	3/4	3/4	6/4	2	1	viio2	Db	bIII	I	viio2		vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4
66	66	378	2.0	0	0	6/4	2	1	I(9)	Db	bIII	I	I(9)		I			9				M	0	0	0, 4, 1	2	0	0
66	66	380	6.0	1/2	1/2	6/4	2	1	I	Db	bIII	I	I		I							M	0	0	0, 4, 1		0	0
67	67	386	1.0	1/2	1/2	6/4	2	1	IV64]	Db	bIII	I	IV64		IV		64					M	0	0	0, -1, 3		-1	0
67	67	387	0.0	3/4	3/4	6/4	2	1	V65	Db	bIII		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
67	67	387	3.0	3/4	3/4	6/4	2	1	ii6	Db	bIII		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
68	68	390	6.0	0	0	6/4	2	1	I|IAC}	Db	bIII		I		I					IAC	}	M	0	0	0, 4, 1		0	0
69	69	396	6.0	0	0	6/4	2	1	I.#viio43/vii	Db	I		#viio43/vii		#vii	o	43		vii			o7	0	0	4, 1, 10, 7		10	4
70	70	402	3.0	0	0	6/4	2	1	V2(9)	Db	I		V2(9)		V		2	9				Mm7	0	0	-1, 1, 5, 2	3	1	-1
70	70	405	3.0	3/4	3/4	6/4	2	1	V2	Db	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
71	71	408	6.0	0	0	6/4	2	1	#viio43/vii	Db	I		#viio43/vii		#vii	o	43		vii			o7	0	0	4, 1, 10, 7		10	4
72	72	414	3.0	0	0	6/4	2	1	V2(9)	Db	I		V2(9)		V		2	9				Mm7	0	0	-1, 1, 5, 2	3	1	-1
72	72	417	3.0	3/4	3/4	6/4	2	1	V2	Db	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
73	73	420	3.0	0	0	6/4	2	1	#viio43/vii	Db	I		#viio43/vii		#vii	o	43		vii			o7	0	0	4, 1, 10, 7		10	4
73	73	423	3.0	3/4	3/4	6/4	2	1	V7(6)/bVI	Db	I		V7(6)/bVI		V		7	6	bVI			Mm7	0	0	-3, 1, 0, -5		-3	-3
74	74	426	2.0	0	0	6/4	2	1	I(9)/bVI	Db	I		I(9)/bVI		I			9	bVI			M	0	0	-4, 0, -3	-2	-4	-4
74	74	428	9.0	1/2	1/2	6/4	2	1	I/bVI|IAC}	Db	I		I/bVI		I				bVI	IAC	}	M	0	0	-4, 0, -3		-4	-4
